id,question,answer,intent,terminal,language
33,Where do I find the airline help desks?,You can find airline help desks right across from the check-in counters in the departure hall. Each airline has its own service desk for inquiries.,flight_info,departure,english
34,Has the flight to Muscat departed?,"The SalamAir flight to Muscat left about 20 minutes ago. If you missed it, please visit the airline desk for rebooking options.",flight_info,departure,english
35,What should I do if Iâ??m late for check-in?,"If check-in has just closed, immediately visit your airlineâ??s service counter. Sometimes they can still issue your boarding pass if the gate isnâ??t closed yet.",flight_info,departure,english
36,Can I confirm if my flight is delayed or cancelled?,"Sure! Tell me your flight number, and Iâ??ll confirm the current status. You can also check the big flight information boards in the terminal for live updates.",flight_info,departure,english
37,Is the evening flight to Sharjah on time?,"Yes, the AirArabia flight to Sharjah is on time and boarding from Gate 4. Boarding usually begins around 45 minutes before takeoff.",flight_info,departure,english
38,Is there a flight to Madinah tonight?,"Yes, thereâ??s a late-night flight to Madinah operated by Saudia Airlines at 11:45 PM. Check-in starts three hours before departure.",flight_info,departure,english
39,How can I confirm if my flight ticket is valid?,You can confirm your ticketâ??s validity at your airlineâ??s counter or by checking your booking reference on the airlineâ??s website. It only takes a few seconds.,flight_info,departure,english
40,What time does the flight to Skardu leave?,The flight to Skardu is scheduled for 8:20 AM. Make sure youâ??re at the airport by 6:30 AM since boarding gates close 30 minutes before departure.,flight_info,departure,english
41,Where can I find last-minute announcements about flights?,All last-minute updates are made through the loudspeakers in the departure lounge and shown on the digital screens across the terminal.,flight_info,departure,english
42,How can I know if my flight is rescheduled?,Youâ??ll receive an SMS alert or email from your airline if your flight is rescheduled. It will also appear on the airportâ??s departure information screens.,flight_info,departure,english
43,Is there any direct flight to Kuala Lumpur today?,"Yes, thereâ??s a Malaysia Airlines flight to Kuala Lumpur tonight. Itâ??s scheduled to depart at 10:30 PM from Gate 13.",flight_info,departure,english
44,Can I change my flight timing at the airport?,"You can request a flight timing change at your airlineâ??s help desk, but it depends on ticket rules and seat availability.",flight_info,departure,english
45,Is there any flight to Abu Dhabi this afternoon?,"Yes, Etihad Airways has an afternoon flight to Abu Dhabi at 2:15 PM. Boarding will start one hour before departure.",flight_info,departure,english
46,Can I confirm the time of my connecting flight?,"Sure! Please share your connecting flight number, and I can confirm its timing. Airlines usually assist with connections at the transfer desk.",flight_info,departure,english
47,Where can I find my flight number?,"Your flight number is printed on your ticket and boarding pass, and also appears on your confirmation email from the airline.",flight_info,departure,english
48,Is there a morning flight to Doha tomorrow?,"Yes, thereâ??s a morning Qatar Airways flight to Doha at 9:10 AM. Boarding begins around 8:20 AM from Gate 5.",flight_info,departure,english
49,Can I check flight status online?,"Yes, every airline offers an online status tracker. You can visit the airlineâ??s website, enter your flight number, and see live updates instantly.",flight_info,departure,english
50,What should I do if my domestic flight shows ?Security Clearance Pending??,"When a flight displays ?Security Clearance Pending,? it usually means aviation security teams are completing final inspections. This is normal during peak hours or when multiple aircraft are parked close together. Keep checking the departure screens for updated boarding announcements. Airline staff at the gate can provide real-time updates. Avoid leaving the gate area because clearance can finish any time. Once cleared, boarding usually begins quickly, so staying alert helps you avoid delays.",flight_info,departure,english
51,How can I confirm the updated gate if my airline suddenly changes it?,"Gate changes occur frequently, especially during busy travel periods. After security, keep checking the digital departure screens placed in the main lounge. Your airline may also send SMS or app notifications if you registered your number during booking. Listen carefully to PA announcements because they always announce gate changes multiple times. If unsure, approach any uniformed airline staff; they have real-time system updates and will guide you to the correct gate.",flight_info,departure,english
52,Is there a help desk to assist passengers traveling with infants?,"Yes, most airports have assistance counters specifically for families traveling with infants. These desks are located near the check-in area and provide support such as expedited processing, stroller tagging, and guidance on infant baggage allowances. Many airlines also allow early boarding for families to settle in comfortably. If you need warm water, diapers, or changing rooms, staff at these desks will direct you to nearby facilities. Always inform them early to receive smooth assistance.",flight_info,departure,english
53,How can I check baggage rules for musical instruments?,"Musical instruments fall under special luggage categories. Many airlines allow them as cabin baggage if they meet size and weight limits. For larger instruments, you might need a purchased seat or special packing. The best way to confirm is to check airline guidelines online or contact the check-in counter directly. Staff can measure your instrument and advise on fees. It?s important to reach early, as approval and tagging may take extra time.",flight_info,departure,english
54,What is the process for passengers needing wheelchair assistance?,"Wheelchair services can be requested during booking or at the airline?s check-in counter. After verification, staff will arrange an attendant to escort you through security, immigration (if applicable), and to your boarding gate. Priority boarding is provided for such passengers. It?s recommended to arrive at least 3 hours early to avoid last-minute delays. Airline staff ensure your wheelchair is properly tagged and returned at arrival. Always keep medical documents if assistance is due to a health condition.",flight_info,departure,english
55,Can I carry medicines in my hand-carry bag?,"Yes, essential medicines are allowed in cabin baggage, but they must be properly packed. Liquid medicines over 100ml may require a doctor's prescription for approval. Keep them at the top of your bag for easy inspection at security. It?s helpful to carry a small medical note explaining your condition. Security officers usually allow reasonable medical supplies once verified. Temperature-sensitive items should be informed to airline staff for special handling.",flight_info,departure,english
56,How can I find out if the aircraft for my flight has changed?,"Aircraft changes occur for operational reasons. The best way to confirm is by checking your boarding pass after check-in; the aircraft type is often printed on it. Airlines also update aircraft details on their mobile apps. At the gate, display screens sometimes show the new aircraft code. If you notice changes in seat layout or your seat number shifts, it's a sign the aircraft has changed. Gate agents can always verify this for you.",flight_info,departure,english
57,What should I do if I accidentally booked the wrong flight date?,"If you booked the wrong date, immediately visit your airline?s check-in counter or ticket office at the airport. Many airlines allow same-day corrections with a re-issuance fee. If seats are available, staff may shift you to the correct flight. Online support may also help, but urgent corrections are faster in person. Bring your CNIC/passport and booking reference. Early arrival increases chances of a successful change without extra charges.",flight_info,departure,english
58,Are there resting lounges for passengers with long waiting times?,"Yes, airports usually have resting lounges equipped with comfortable seating, charging ports, food areas, and washrooms. Some lounges require paid entry, while certain airlines allow free access to business-class travelers. Lounges also offer Wi-Fi, reclining chairs, and sometimes showers. If your flight is delayed, airline staff may provide vouchers for lounge access. Look for signs near Gate areas or ask information desk staff for directions.",flight_info,departure,english
59,What if my boarding pass barcode isn?t scanning at security?,"A barcode may fail to scan due to smudges, low brightness, damaged print, or technical glitches. Try increasing screen brightness if it's on your phone. If the issue persists, visit your airline?s check-in counter or help desk?they will reprint your boarding pass instantly. Security officers will only allow you through once the barcode is validated. It's best to keep a backup printout or screenshot to avoid delays.",flight_info,departure,english
60,How do I know if my flight is codeshare with another airline?,"A codeshare flight usually has two different airline numbers for the same journey. The operating airline's name appears on your ticket or app. Departure screens also mention ?Operated by?? under the flight number. At check-in, staff will confirm which airline is responsible for baggage and boarding. Codeshare flights often have shared facilities, but services like seat selection may vary depending on the operating airline's rules.",flight_info,departure,english
61,Can I use power banks on the aircraft?,"Yes, power banks are allowed only in cabin baggage, not in checked luggage. Look for power banks with a capacity under 100Wh to avoid restrictions. Security officers may inspect them for safety. During the flight, you may use them unless the cabin crew instructs otherwise. Never charge devices during takeoff or landing. If your power bank is damaged or swollen, security will not allow it on board for safety reasons.",flight_info,departure,english
62,What should I do if my boarding gate closes while I'm still in the lounge?,"If the gate has closed, immediately approach the nearest airline staff or supervisor. Sometimes, if the aircraft door is still open, they may request the crew to allow you in. If not, you may need to rebook on the next available flight, often with a fee. Always stay within hearing distance of your gate, as gate changes or early closures are common. Set mobile reminders to avoid missing announcements.",flight_info,departure,english
63,Is photography allowed inside the departure terminal?,"General photography inside terminals is allowed, but certain areas like immigration, security, and staff offices are restricted. Signs usually indicate where photography is prohibited. If a security officer asks you to stop, comply immediately. For plane-spotting or capturing aircraft photos, use areas near large windows in the departure lounge. Avoid photographing other passengers without permission to maintain airport privacy policies.",flight_info,departure,english
64,How can I track my checked baggage after dropping it?,"After baggage drop, each bag receives a tag with a tracking number. Keep the baggage receipt attached to your boarding pass. Many airlines provide tracking through their apps or websites. If your bag gets delayed, lost, or diverted, the tracking number helps staff locate it quickly. Always double-check that your destination is printed correctly. Reaching the airport early ensures proper tagging and safer handling.",flight_info,departure,english
65,Do airports allow carrying Zamzam water in checked baggage?,"Yes, most airlines allow passengers to carry properly sealed Zamzam water in checked luggage, especially for flights from Saudi Arabia. However, it must be packed in approved containers and may require special wrapping. Airline counters verify the packaging before tagging your bags. Check weight limits, as Zamzam containers are often heavy. Security does not allow Zamzam water inside cabin baggage under any circumstances.",flight_info,departure,english
66,What should I do if my flight is overbooked?,"Overbooking happens when airlines sell more seats than available. If you?re affected, they may ask for volunteers to take a later flight in exchange for compensation. If selected involuntarily, airline staff must offer hotel stay, meals, or a confirmed seat on the next flight. Always reach early to reduce your chances of being bumped. Knowing your passenger rights helps you negotiate for fair compensation.",flight_info,departure,english
67,How do I confirm if my seat has extra legroom?,"Extra legroom seats are usually located in exit rows or front cabin rows. You can check the seat number on your boarding pass and compare it with seat maps on the airline?s website. At check-in, you may request confirmation or upgrade. Some airlines offer paid upgrades at the counter. If you are seated in an emergency exit row, staff will confirm that you meet safety requirements before finalizing the seat.",flight_info,departure,english
68,What are the rules for carrying electronic cigarettes on flights?,"Electronic cigarettes are allowed only in hand-carry bags, not checked luggage. You cannot use or charge them during the flight. Security may inspect batteries to ensure they're safe. Airlines prohibit carrying loose batteries without protective cases. If your device uses liquid refills, ensure they meet the 100ml liquid rule. Always check the latest airline policies, as rules change frequently due to safety concerns.",flight_info,departure,english
69,How early does the airport open for morning departures?,"Most terminals open 24/7, but check-in counters open 3 to 4 hours before flight time. For early morning departures around 5?7 AM, counters begin processing passengers at least 3 hours earlier. Security checkpoints also open simultaneously. Arriving early ensures smooth baggage drop and seat confirmation. Morning flights often experience long queues, so planning ahead saves time.",flight_info,departure,english
70,Can I bring homemade food in my cabin bag?,"Yes, homemade food is generally allowed in cabin baggage. However, avoid carrying liquid or semi-liquid food items such as soups, sauces, and curries, as they may be restricted. Solid items like sandwiches, parathas, snacks, and baked goods are usually permitted. Security officers may check the packaging. Airline crew may warm food if rules allow. Always pack food securely to avoid spills during security checks or inside the aircraft.",flight_info,departure,english
71,What should I do if my boarding pass shows ?Seat to be assigned at gate??,"When your boarding pass states that your seat will be assigned at the gate, it usually means the flight is close to full capacity. Gate agents will assign seats based on availability once final check-in numbers are confirmed. Arriving early at the gate increases your chances of getting a suitable seat, especially if you?re traveling with family. Keep checking the display monitors for boarding groups. Avoid leaving the area because seat assignment announcements can happen quickly. If you have special requirements, inform the staff immediately.",flight_info,departure,english
72,Is it possible to request a seat change after checking in?,"Yes, seat changes are possible but depend on availability. After checking in, you can ask staff at the check-in counter or gate desk to help you switch seats. They can view real-time seat maps and suggest options. If the flight is full, they might place you on a waiting list and call your name if a seat opens. Arriving early improves your chances. For upgrades to extra-legroom seats, additional charges may apply. Always confirm your new seat on the final boarding pass.",flight_info,departure,english
73,What are the guidelines for carrying fragile items like glass souvenirs?,"Fragile items should be packed securely using bubble wrap or shock-absorbing materials. Airlines normally recommend placing them in hand-carry for safety. However, if the item is large, check-in staff may advise special handling procedures. Inform the staff so they can label your baggage as ?Fragile.? Avoid placing valuable or easily breakable items in checked bags. Arrive early to ensure careful processing. Always carry receipts for expensive souvenir items, as customs officers may ask for proof.",flight_info,departure,english
74,How can I confirm whether my flight offers in-flight Wi-Fi?,"You can check Wi-Fi availability on your airline?s official website under your flight number. Many airlines also mention this feature in the booking confirmation. At the airport, gate agents can confirm if Wi-Fi services are active for your specific aircraft model. Look for Wi-Fi stickers near the aircraft door when boarding. Keep in mind some flights only offer limited messaging services. Charges may apply, and connection strength can vary based on route and altitude.",flight_info,departure,english
75,What should I do if my luggage tag gets torn before dropping my bag?,"If your luggage tag tears before baggage drop, approach the check-in counter immediately. Staff can reprint a new tag instantly. Avoid taping the tag yourself, as automated baggage scanners might fail to read it. Ensure your bag has a personal ID label inside, in case the external tag gets lost. Keep your baggage receipt safe, as it?s essential for tracking. Arriving early helps avoid rushed tagging, which reduces damage risks.",flight_info,departure,english
76,Can I travel with temperature-sensitive food items?,"Yes, but special care is required. Pack temperature-sensitive items like chocolates, dairy, or sweets in insulated containers. Airlines allow such items in cabin bags as long as they meet size and liquid restrictions. If carried in checked luggage, pack them securely to avoid spillage. Security may inspect your items to ensure compliance. Avoid carrying homemade liquid foods, as they may be confiscated. Always check the airline?s guidelines for perishable goods.",flight_info,departure,english
77,How can I check if my flight has meal service?,"Meal services depend on duration, route, and airline policy. Check your booking confirmation or the airline?s website for meal information. Domestic flights under two hours may offer snacks instead of full meals. At check-in, staff can confirm whether your flight includes complimentary meals. If you follow a specific diet, request special meals at least 24 hours before departure. Even on flights without meals, crew often sell snacks onboard.",flight_info,departure,english
78,What are the rules for carrying large paintings on flights?,"Paintings are treated as oversized or delicate items. Airlines may allow them as cabin baggage if they fit overhead bins; otherwise, you may purchase an extra seat. Large paintings must go in checked luggage with special fragile labels. At check-in, staff will measure the dimensions to confirm eligibility. Wrap the painting properly to prevent damage. Special handling charges may apply for oversized art pieces.",flight_info,departure,english
79,What should I do if the airline app shows a different departure time than the airport screens?,"When there?s a difference between app and screen timings, always trust the airport?s official display boards. The app may update slower due to network delays. Approach the airline help desk to verify the accurate time. Gate agents can give real-time information from the operations system. Avoid relying solely on SMS updates during peak traffic hours. Always stay near your gate to hear announcements directly.",flight_info,departure,english
80,How do I know if my cabin bag is within the correct size limits?,"Most airlines display cabin bag size limits at check-in counters and security entrances. Use the metal measuring frame provided to check dimensions. Staff can also confirm whether your bag meets requirements. If your bag exceeds limits, they may ask you to check it in. Arriving early offers time to repack if needed. Always check your airline?s website before traveling to avoid surprises at the airport.",flight_info,departure,english
81,What happens if my identity document is slightly damaged?,"Minor wear is acceptable, but significant tears or unreadable text can cause issues. Airline staff may refuse check-in if the document is invalid. Visit the airline counter early to allow time for verification. If possible, carry an additional document for backup. Immigration authorities may also require a clear and valid ID. Always replace damaged passports or CNICs before travel to avoid delays.",flight_info,departure,english
82,Can I take two laptops in my hand luggage?,"Yes, passengers may carry multiple laptops as long as they fit within cabin baggage limits. During security screening, laptops must be removed from the bag and placed separately in trays. Officers may inspect them individually. Avoid packing laptops in checked luggage due to damage risks. Keep chargers and accessories organized for quick inspection. Some airlines may restrict battery-powered devices if they appear damaged.",flight_info,departure,english
83,What should I do if my boarding time is approaching but security lines are long?,"If security queues are long, inform a nearby airport staff member. They often guide passengers with close boarding times to faster lanes. Keep your boarding pass visible for verification. Avoid carrying restricted items to speed up the screening process. Once through security, head directly to your gate without stopping. Always arrive early to avoid such stressful situations.",flight_info,departure,english
84,How can I check if my flight will experience turbulence based on weather?,"While exact turbulence predictions aren't publicly available, you can monitor weather forecasts for your route. Cloudy or stormy weather may increase turbulence chances. Airline apps sometimes provide basic flight conditions. At the gate, pilots sometimes inform passengers about expected weather. Cabins are designed to handle turbulence safely, so following crew instructions is essential. Always keep your seatbelt fastened during the flight.",flight_info,departure,english
85,Is it possible to book priority boarding at the airport?,"Yes, many airlines offer priority boarding upgrades at the check-in counter or gate. Fees vary depending on the route and airline. Priority boarding allows you to enter the aircraft before general passengers, ensuring space in overhead bins. Upgrades may also include faster security lanes or priority baggage. Ask staff early before boarding groups are finalized. Availability is limited, especially on full flights.",flight_info,departure,english
86,Can I carry duty-free liquids if I have a connecting domestic flight?,"Duty-free liquids are allowed only if sealed in official tamper-proof bags with receipts. However, for domestic connections, security may recheck liquids under local restrictions. Keep your receipts ready for verification. If security does not allow liquids above 100ml, they may be confiscated. Always check the rules based on your final destination. Ask airport staff for guidance during transfer to avoid losing items.",flight_info,departure,english
87,What should I do if I accidentally leave my passport at check-in?,"If you suspect leaving your passport at the counter, return immediately and inform the staff. They usually keep misplaced documents securely. Provide identifying information to retrieve it. Airlines follow strict protocols for handling passports. If your passport isn?t found, visit the airport?s lost-and-found office. Arriving early helps manage such emergencies without missing your flight.",flight_info,departure,english
88,How do I check the aircraft seat map before boarding?,"Seat maps can be viewed during online check-in or through airline mobile apps. Many airlines also display seat layouts when selecting seats. If you need help understanding the layout, ask the gate staff. Websites like SeatGuru offer detailed maps for most aircraft models. Knowing the layout helps you choose quieter seats or those with more legroom.",flight_info,departure,english
89,Can I bring sports equipment like tennis rackets in cabin baggage?,Sports equipment rules vary by airline. Smaller items like tennis rackets may be allowed in the cabin if they fit size limits. Security officers may check for sharp edges. Larger equipment like bats or sticks is usually restricted and must be checked in. Always check weight and size guidelines online before travel. Inform staff early to avoid last-minute delays.,flight_info,departure,english
90,What should I do if my flight shows ?Crew Rest Delay??,Crew rest delays occur when flight crew members require mandatory rest periods for safety. This is strictly regulated by aviation laws. Such delays may last from minutes to hours depending on scheduling. Airline staff will update passengers through announcements. You may be offered snacks or water during extended delays. Staying near your gate ensures you don?t miss updates.,flight_info,departure,english
91,Are there charging stations near departure gates?,"Yes, most modern terminals have charging stations near boarding lounges. They include USB ports, standard outlets, and sometimes wireless charging pads. These stations may become crowded during peak hours, so arrive early if you need to charge devices. Some lounges also offer dedicated power outlets. Always keep your charger in your hand-carry to avoid inconvenience.",flight_info,departure,english
92,Can I carry flowers in my hand luggage?,"Fresh flowers are generally allowed in cabin bags. However, avoid carrying arrangements with water-filled containers, as liquids may be restricted. Ensure flowers don?t contain soil, which may be prohibited by some authorities. Handle them carefully during security checks. Some countries impose agricultural restrictions, so confirm rules if you?re traveling internationally.",flight_info,departure,english
93,How can I confirm if my flight is delayed due to weather?,"Weather-related delays are announced on departure screens and PA systems. Airline apps may also display notifications. Approach the airline desk for confirmation; they receive updates directly from flight operations. Rain, fog, or storms may affect runway visibility and aircraft scheduling. Stay near your gate for real-time updates.",flight_info,departure,english
94,What if my airline cancels the flight altogether?,"If your flight is canceled, airlines must offer a rebooking option or a refund. Visit the airline counter immediately to secure a seat on the next available flight. Compensation policies vary depending on the carrier. If you have checked luggage, staff will help retrieve it. Keep all receipts if the cancellation causes additional expenses.",flight_info,departure,english
95,How can I find the shortest security line?,Security screens are often divided into multiple lanes. Look for digital signs showing estimated waiting times. Airport staff may guide you toward less crowded lines. Premium lanes may be available for an additional fee. Avoid carrying prohibited items to speed up screening. Early arrival helps you avoid rush hour congestion.,flight_info,departure,english
96,Is there assistance for first-time travelers?,"Yes, most airports offer guidance services for first-time flyers. Information counters provide step-by-step instructions for check-in, security, boarding, and baggage rules. Airline staff are trained to help inexperienced passengers. Arrive early to move through processes calmly. If you feel confused, ask any uniformed staff member; they will direct you to the correct area.",flight_info,departure,english
97,What should I do if my checked baggage is overweight?,"If your baggage exceeds the weight limit, you may need to remove items or pay an excess baggage fee. Staff at the check-in counter can guide you through the process. Use the weighing machines near check-in to adjust your bags beforehand. Fees vary by airline and destination. Avoid last-minute repacking to maintain order and avoid missing your flight.",flight_info,departure,english
98,How can I know which conveyor belt my baggage will arrive on after landing?,"Upon arrival, check the digital screens in the baggage claim area. They display flight numbers along with the assigned belt number. Cabin crew sometimes announce belt details before landing. In case of confusion, ask the airport ground staff. Keep your baggage tag handy for verification.",flight_info,departure,english
99,What are the rules for carrying sealed food items in checked luggage?,"Sealed dry food items are generally allowed in checked bags. Avoid packing liquid foods or sauces, as they may leak or be restricted. Wrap items securely to prevent damage. Some international destinations have food import restrictions, so always check local rules. Airline staff can guide you if you're unsure about specific items.",flight_info,departure,english
100,Can I carry a drone in my luggage?,Drones are allowed depending on battery type and airline rules. Batteries must be carried in hand luggage. The drone itself can go in checked baggage if properly packed. Some countries require drone registration on arrival. Always check airline and destination regulations before travel to avoid confiscation.,flight_info,departure,english
101,How can I check my departure flight status?,"You can check your departure flight status by visiting the airline?s official website or mobile app. Enter your flight number and date of travel to get real-time updates. Airports also provide flight status boards showing departure times, gate numbers, and any delays. Additionally, third-party apps like FlightAware or FlightRadar24 can track your flight. It?s recommended to check your flight at least 2?3 hours before departure for any changes.",flight_info,departure,english
102,Where is the check-in counter for my airline?,"Check-in counters are usually located on the departure floor of the airport. Each airline has its designated counters, often grouped together. Look for signage showing your airline name or code. Airport staff and information desks can guide you if you are unsure. For online check-ins, you can also print your boarding pass or download it to your phone. Arrive at least 2?3 hours before your international flight or 1?2 hours for domestic flights.",flight_info,departure,english
103,What documents do I need for departure?,"For departure, you must carry a valid government-issued ID or passport, depending on domestic or international travel. A printed or digital boarding pass is required. For international flights, you may also need a visa and relevant travel documents. Keep your flight itinerary handy. Some airlines may ask for vaccination or health certificates depending on travel restrictions. Make sure all documents are accessible and valid to avoid delays at check-in or immigration.",flight_info,departure,english
104,How early should I arrive at the airport for departure?,"For domestic flights, it is recommended to arrive at least 1.5 to 2 hours before departure. For international flights, arrival 3 hours before departure is advised. This allows time for check-in, security screening, baggage drop, and possible immigration checks. Peak travel times may require extra time. Always check with your airline for their recommended arrival window. Arriving early reduces stress and ensures a smooth start to your journey.",flight_info,departure,english
105,What is the baggage allowance for departure flights?,"Baggage allowance varies depending on your airline, flight class, and destination. Typically, economy class passengers are allowed 1 or 2 checked bags with weight limits between 20?30 kg per bag. Carry-on baggage is usually limited to 7?10 kg. Oversized or extra bags may incur additional charges. Always check your airline?s website for exact limits. Ensure your luggage is properly tagged and meets size requirements to avoid delays.",flight_info,departure,english
106,How can I find my departure gate?,"Your departure gate is displayed on your boarding pass and on the airport flight information boards. Airports may update gate numbers due to operational reasons, so check boards frequently. Staff and information desks can provide directions if needed. Some airports have apps providing real-time gate updates. Arrive at the gate at least 30?45 minutes before boarding to avoid last-minute rush.",flight_info,departure,english
107,What should I do if my departure flight is delayed?,"If your departure flight is delayed, check the airline?s website or mobile app for updates. Flight status boards at the airport also provide real-time information. Contact the airline staff for rebooking or assistance. Keep an eye on notifications via email or SMS. You can use the waiting time to relax, eat, or charge devices. For long delays, some airlines provide meal vouchers or accommodation if required.",flight_info,departure,english
108,How does online check-in work for departure flights?,"Online check-in allows you to check in via the airline?s website or app before arriving at the airport. Enter your booking reference and personal details to receive a digital boarding pass. You can choose your seat, add baggage, and sometimes pay for upgrades. Online check-in typically opens 24?48 hours before departure. After checking in, print your boarding pass or save it on your phone. At the airport, you can directly proceed to baggage drop and security.",flight_info,departure,english
109,What is the security screening process at the departure gate?,"Security screening ensures passenger safety before boarding. You will need to present your boarding pass and ID. Carry-on items are scanned through X-ray machines. Passengers may go through metal detectors or body scanners. Liquids, gels, and electronics must comply with airline regulations. Remove belts, jackets, and shoes if required. Follow instructions from security personnel. Once cleared, proceed to the boarding area.",flight_info,departure,english
110,How can I handle missed departure flights?,"If you miss your departure flight, immediately contact your airline staff at the airport. They can guide you on available rebooking options, standby flights, or possible fees. For international flights, rebooking may also require visa validity checks. Some airlines allow online changes if you have time before departure. It?s essential to remain calm and keep your travel documents ready. Travel insurance may also cover missed flights under certain conditions.",flight_info,departure,english
