"id","query","language","intent","terminal","entities","expected_response","notes"
"30","Can I carry my wedding dress as cabin baggage?","en","baggage","departure","{""item"":""wedding dress""}","Wedding dresses can be carried as cabin baggage if they fit in overhead bins or you can request a garment bag","Special occasion"
"31","Are there lockers to store baggage temporarily?","en","baggage","departure","{}","Temporary baggage storage lockers are available in the departure hall for a fee","Storage option"
"32","What documents do I need for baggage check-in?","en","baggage","departure","{}","You need your boarding pass and valid ID/passport for baggage check-in","Required documents"
"33","Can I split my baggage allowance between bags?","en","baggage","departure","{}","Yes, you can distribute your total weight allowance across multiple bags as long as each doesn't exceed individual bag limits","Weight distribution"
"34","Are fragile items allowed in checked baggage?","en","baggage","departure","{""item"":""fragile""}","Fragile items can be checked but should be properly packed; it's recommended to carry valuables in cabin","Risk advisory"
"35","What is the baggage allowance for students?","en","baggage","departure","{""passenger_type"":""student""}","Some airlines offer additional baggage allowance for students; check with your airline for specific policies","Special category"
"36","Can I carry medicines in cabin baggage?","en","baggage","departure","{""item"":""medicines""}","Yes, prescription medicines are allowed in cabin baggage with proper documentation","Medical exception"
"37","How strict are airlines about cabin baggage weight?","en","baggage","departure","{}","Most airlines strictly enforce the 7kg limit, especially during peak seasons","Enforcement level"
"38","Can I check in pet carriers as baggage?","en","baggage","departure","{""item"":""pet carrier""}","Small pets in approved carriers may be allowed in cabin; larger pets must travel as checked baggage or cargo","Pet travel"
"39","What should I remove before checking my bag?","en","baggage","departure","{}","Remove all valuables, documents, keys, medicines, electronics, and perishables","Pre-check preparation"
"40","Are camping equipment and tents allowed?","en","baggage","departure","{""item"":""camping equipment""}","Camping equipment is allowed in checked baggage; sharp items like knives must be properly packed","Outdoor gear"
"41","Can I carry baby food in cabin baggage?","en","baggage","departure","{""item"":""baby food""}","Baby food and milk are exempt from liquid restrictions for passengers traveling with infants","Family exception"
"42","What happens if I don't collect my baggage tag?","en","baggage","departure","{}","The baggage tag is essential for claiming your luggage; report immediately if you lose it","Important document"
"43","Are there weight restrictions for premium economy?","en","baggage","departure","{""class"":""premium economy""}","Premium economy passengers typically get 25kg checked baggage allowance","Mid-tier class"
"44","Can I consolidate baggage with other passengers?","en","baggage","departure","{}","Baggage pooling depends on airline policy; some allow it for passengers on same booking","Group travel"
"45","What packaging is recommended for checked bags?","en","baggage","departure","{}","Use hard-shell suitcases for fragile items, secure all zippers, and use TSA locks","Packing advice"
"46","Are batteries allowed in checked luggage?","en","baggage","departure","{""item"":""batteries""}","Spare lithium batteries must be in cabin baggage; installed batteries in devices can be checked","Battery rules"
"47","Can I change my baggage allowance after booking?","en","baggage","departure","{}","Yes, you can purchase additional allowance online before check-in or at the airport counter","Post-booking changes"
"48","What is the liability limit for lost baggage?","en","baggage","departure","{}","Airlines' liability is limited to approximately USD 1,500-2,000 per passenger for international flights","Compensation limits"
"49","Are there any color-coded baggage tags?","en","baggage","departure","{}","Airlines use color-coded tags to identify destination and routing; priority tags may be different colors","Tag system"
"50","Can I carry Christmas decorations in checked baggage?","en","baggage","departure","{""item"":""decorations""}","Non-fragile decorations are allowed; avoid glass ornaments or properly pack them to prevent breakage","Seasonal items"
"51","I'm traveling with my elderly mother, can we get assistance with baggage?","en","baggage","departure","{""passenger"":""elderly""}","Yes, Islamabad International Airport provides comprehensive assistance services for elderly passengers and their baggage. You can request wheelchair and porter services free of charge at the check-in counter. Our trained staff will assist your mother from the check-in area all the way through security screening, and they will also help carry and manage your baggage throughout the process. The porter service includes loading bags onto the check-in belt, accompanying you to the security area, and ensuring all your belongings are properly handled. For the smoothest experience, inform the airline staff about your assistance needs when you first arrive at the check-in counter, and they will arrange immediate support. If you need a wheelchair, these are available at the entrance and throughout the terminal.","Elderly assistance"
"52","What if my connecting flight is with a different airline?","en","baggage","departure","{""flight_type"":""connecting""}","When you have connecting flights with different airlines at Islamabad International Airport, you will need to collect your checked baggage from the first flight's baggage claim area and then re-check it with your second airline at their designated check-in counter. This is standard procedure for inter-airline connections because each airline has separate baggage handling systems and liability. Before your first flight departs, confirm the complete transfer procedure with your initial airline's check-in staff, as they can provide specific guidance about timing and which counter to use for your connecting airline. Make sure to allow sufficient time between flights - we recommend at least 3-4 hours for domestic connections and 4-5 hours for international connections when switching airlines. Keep your baggage claim tags from both flights safe, and ensure your connecting flight boarding pass is ready when you re-check your bags.","Different airline transfer"
"53","Can I take dried fruits and nuts in my hand luggage?","en","baggage","departure","{""item"":""dried fruits""}","Yes, you can absolutely carry dried fruits, nuts, seeds, and other packaged snacks in your hand luggage without any quantity restrictions or special permissions required. These items are not classified as liquids or restricted goods, so they pass through security screening without issues. For convenience and to speed up security checks, it's best to keep these food items in their original sealed packaging or place them in clear, transparent plastic bags or containers. This makes it easier for security personnel to identify the contents quickly during X-ray screening. Popular items like almonds, cashews, pistachios, dried apricots, dates, raisins, and trail mixes are commonly carried by passengers and are perfectly acceptable. However, avoid carrying items with excessive moisture or those that might leak, as these could cause inconvenience during your flight.","Snacks allowed"
"54","My flight is delayed by 5 hours, where can I store my baggage?","en","baggage","departure","{""issue"":""delayed flight""}","For significant flight delays, Islamabad International Airport offers left luggage storage facilities located near the main entrance of the departure hall, making it convenient for passengers who want to move around freely without carrying heavy bags. The storage service operates 24/7 and charges approximately PKR 300-500 per bag per day, depending on the size and weight of your luggage. This facility is secure, monitored by CCTV cameras, and staffed by trained personnel who will provide you with a claim ticket that you must present when retrieving your bags. Alternatively, you should check with your airline at their customer service desk, as many airlines offer complimentary temporary baggage storage for passengers affected by significant delays, especially if the delay is due to the airline's operational issues. When using any storage service, make sure to remove valuable items, important documents, medications, and electronic devices from your checked bags and keep them with you.","Delay storage"
"55","Is there a machine to print baggage tags myself?","en","baggage","departure","{""service"":""tag printing""}","No, Islamabad International Airport does not currently have self-service baggage tag printing kiosks available for passenger use. All baggage tags must be printed and attached by authorized airline staff at the check-in counters to ensure proper routing, weight compliance, and security protocols are followed. This system is in place because baggage tags contain specific barcodes and routing information that must be accurately entered into the airline's baggage handling system, and they must be securely attached to prevent loss or misplacement during transit. The airline staff are trained to print tags with correct destination codes, flight numbers, and handling instructions, and they verify that the tag matches your boarding pass and identification before attaching it to your luggage. After your bag is tagged, you'll receive a baggage claim receipt that you should keep safe until you collect your luggage at your destination.","Tag service"
"56","Can I carry my Quran and prayer beads in hand luggage?","en","baggage","departure","{""item"":""religious items""}","Yes, religious items including the Holy Quran, prayer beads (tasbih), prayer mats (janamaz), Islamic books, and other religious articles are completely allowed in both cabin baggage and checked luggage at Islamabad International Airport and all Pakistani airports. These items are considered personal religious materials and are respected and accommodated under airport security regulations. You can carry your Quran in any format - whether it's a physical book, a digital copy on your tablet or phone, or even audio recordings. Prayer beads of any material including wood, stone, or plastic are permitted without restriction. If you're carrying a prayer mat, the folding type fits easily in cabin baggage, or you can place it in checked luggage. Many Muslim passengers also carry small bottles of zamzam water, attar (fragrance), or miswak, and these are generally allowed following standard liquid restrictions for cabin baggage.","Religious items"
"57","I need to carry baby milk powder for my infant, is that allowed?","en","baggage","departure","{""item"":""baby milk powder""}","Yes, baby milk formula powder, infant food, and related feeding supplies are fully permitted in cabin baggage in reasonable quantities necessary for your infant's needs during the journey. Pakistani airport security makes special accommodations for traveling parents with babies, understanding that infant nutrition is essential and time-sensitive. You can carry enough formula to last your entire trip, including extra portions for potential delays. Unlike regular powder restrictions which apply to adult passengers on some international routes, baby formula is exempt from powder quantity limits when traveling with an infant. It's helpful to keep the formula in its original branded container with labels visible, as this speeds up security screening. Along with formula powder, you're also allowed to carry pre-made liquid formula, baby food jars, breast milk, and sterilized water in quantities exceeding the normal 100ml liquid limit for cabin baggage.","Baby feeding items"
"58","My suitcase wheel is broken, will the airline accept it?","en","baggage","departure","{""issue"":""damaged luggage""}","Yes, airlines at Islamabad International Airport will accept luggage with broken wheels or other external damage for check-in, as the primary concern is the contents being properly secured rather than the cosmetic condition of the bag itself. However, it's strongly recommended that you get your damaged luggage wrapped at the professional wrapping service located near the check-in counters, which costs approximately PKR 200-300 per bag. Wrapping provides several benefits: it prevents further damage during baggage handling, keeps broken parts from catching on conveyor belts, protects the bag's contents from exposure if the damage worsens, and prevents items from falling out through damaged areas. The wrapping service uses industrial-grade plastic wrap that's specifically designed for luggage protection. If your wheel is completely detached, inform the check-in staff so they can add a 'fragile' or 'handle with care' tag to your bag.","Damaged bag acceptance"
"59","Can I bring my traditional hookah in checked baggage?","en","baggage","departure","{""item"":""hookah""}","Yes, traditional hookahs (sheesha/huqqa) are permitted in checked baggage at Pakistani airports, as they are recognized cultural items that many travelers transport between cities or take as gifts abroad. However, there are important preparation requirements you must follow. The hookah must be completely clean with absolutely no tobacco residue remaining - clean all chambers, hoses, and the bowl thoroughly before packing. Tobacco, flavored molasses, or charcoal for hookah use cannot be carried in cabin baggage and have restrictions in checked baggage too, so verify specific airline policies. Pack your hookah carefully with adequate cushioning to prevent the glass base from breaking during handling - bubble wrap, foam, or thick clothing works well for padding. If the hookah has multiple parts, consider packing them separately and securing loose components so they don't move around and cause damage.","Traditional items"
"60","Is there a special counter for families with small children?","en","baggage","departure","{""passenger"":""family""}","Yes, Islamabad International Airport has dedicated family check-in lanes specifically designed for passengers traveling with young children and infants, located at counters 15-18 in the main departure hall. These priority lanes are clearly marked with family signage and are designed to make the check-in process faster and less stressful for parents managing children and luggage simultaneously. The family lanes typically have shorter queues and the staff working these counters are trained to assist with family-specific needs such as checking strollers, car seats, and extra baby equipment. When you arrive at the airport, look for the signage indicating family lanes or ask any airport staff member to direct you to the appropriate counters. Besides check-in, the airport also has family-friendly facilities throughout the terminal including baby changing rooms, nursing rooms for mothers, children's play areas, and family restrooms.","Family services"
"61","I forgot to remove my laptop during security screening, what happens?","en","baggage","departure","{""item"":""laptop""}","If you forget to remove your laptop during security screening, the security personnel will politely ask you to return and resubmit your bag for scanning with the laptop placed separately in a dedicated screening tray. This is standard security protocol at all airports including Islamabad International Airport, as laptops and other large electronic devices need individual X-ray examination to ensure they don't contain prohibited items or pose security threats. The screening process requires laptops, tablets larger than phone size, and sometimes even large power banks to be removed from bags and placed flat in separate trays so the X-ray machine can clearly image all internal components. This delay is minor but can cause queues behind you, so it's best to prepare before reaching the conveyor belt. Take out your laptop while waiting in line and have it ready in your hands or an easily accessible pocket of your carry-on. The same rule applies to cameras, portable DVD players, and gaming consoles. Remember to collect all your items after screening, including the laptop tray and your main bag.","Security procedure"
"62","Can I carry blood pressure medicine without a prescription?","en","baggage","departure","{""item"":""medication""}","While it's technically possible to carry common medications including blood pressure tablets without a prescription at Pakistani airports, having proper documentation is strongly recommended for several important reasons. Airport security and customs officials may ask about medications, especially if carrying large quantities or controlled substances, and a prescription serves as immediate proof that these are legitimate medical supplies for personal use. Keep medicines in their original pharmacy packaging with labels showing your name, medication name, dosage, and prescribing doctor - this is the best form of documentation. If you've lost the original packaging, carrying a doctor's letter or prescription photocopy is very helpful. For blood pressure medication specifically, which is usually not a controlled substance, you're unlikely to face issues, but documentation prevents any potential delays or questions at security or customs. The prescription is particularly important for international travel, as different countries have varying regulations about importing medications. Carry a sufficient supply for your trip plus a few extra days in case of delays, and always keep essential medications in your cabin baggage rather than checked luggage.","Medication policy"
"63","My bag's zipper broke, what should I do before check-in?","en","baggage","departure","{""issue"":""broken zip""}","If your bag's zipper breaks before check-in, you have several immediate options to handle the situation at Islamabad International Airport. The best solution is to use the professional baggage wrapping service located near the check-in counters in the departure hall, which costs PKR 200-300 per bag. This industrial-strength plastic wrapping will completely secure your bag, preventing it from opening during transit and protecting your belongings even with a broken zipper. The wrapping also adds an extra layer of security against tampering and weather exposure. Alternatively, if you have a spare bag or an empty suitcase, you can transfer your contents to the intact luggage - though this might be time-consuming if you're running late. Some passengers use luggage straps or belts to secure broken zippers, which can work for minor zip issues but isn't reliable for completely non-functional zippers. Airport shops sometimes sell basic duffel bags or travel bags if you need an emergency replacement. Whatever solution you choose, don't attempt to check in a bag that's likely to open during handling, as this violates baggage safety regulations and risks losing your belongings.","Zipper issue"
"64","Where can I find a luggage trolley?","en","baggage","departure","{""service"":""trolley""}","Free luggage trolleys are readily available throughout Islamabad International Airport at multiple convenient locations to help passengers transport their baggage easily. You'll find trolley bays at the main terminal entrance where passengers first arrive, in the parking area near the drop-off zones, throughout the departure hall near check-in counters, and in the arrival area near baggage claim belts. The trolleys are designed to hold multiple bags and are free to use without requiring any deposit or coins, unlike some international airports. To locate the nearest trolley bay, look for signage or ask any airport staff member wearing a uniform or information desk personnel. After using a trolley, you're encouraged to return it to designated collection areas to keep walkways clear and ensure availability for other passengers. If you're unable to find an available trolley during peak times, airport porter services are also available for a small fee to assist with carrying luggage. The trolleys are regularly maintained and cleaned, though occasionally wheels might be stiff or squeaky - if you encounter a faulty trolley, simply exchange it for another one from the bay.","Trolley location"
"65","Can I carry Pakistani embroidered shawls as gifts in hand luggage?","en","baggage","departure","{""item"":""shawls""}","Yes, you can absolutely carry Pakistani embroidered shawls, traditional textiles, and fabric items in your hand luggage without any restrictions. Items like pashmina shawls, silk dupattas, embroidered suits, handwoven fabrics, and other textile products are perfectly acceptable in cabin baggage and are actually ideal carry-on items because they're lightweight, don't take much space when folded, and won't be damaged by the pressure or handling that checked luggage endures. Many passengers prefer keeping valuable or delicate embroidered items in cabin baggage to prevent crushing, soiling, or potential loss that might occur in checked bags. Traditional Pakistani handicrafts including embroidered shawls from Swat, Kashmiri shawls, Multani khes, Sindhi ajrak, and Balochi needlework are commonly transported by travelers as personal items or gifts. If you're carrying multiple shawls or larger quantities of fabric, security might briefly inspect them to ensure nothing is concealed within the folds, but this is a quick visual check. For international travel, textile gifts are generally duty-free for personal use, though commercial quantities might face customs questions at your destination.","Cultural items"
"66","What's the cabin bag weight for my Emirates flight to Dubai?","en","baggage","departure","{""flight_type"":""international""}","For Emirates flights departing from Islamabad International Airport to Dubai, the standard cabin baggage allowance is 7 kilograms for Economy Class passengers, though this can vary based on your specific ticket type and frequent flyer status. Business and First Class passengers typically have higher allowances, often up to 14 kilograms across two pieces. The cabin bag dimensions must not exceed 55cm x 38cm x 20cm to fit in overhead compartments or under the seat in front of you. In addition to your main cabin bag, Emirates allows one personal item such as a laptop bag, handbag, or small backpack, which generally isn't weighed separately if it's reasonably sized. However, it's crucial to verify your specific allowance on your Emirates ticket booking or by calling Emirates customer service, as allowances can differ for special fare types, codeshare flights, or if you've purchased extra baggage options. Check-in staff at the airport will weigh cabin bags if they appear oversized, and excess weight can result in being required to check the bag with applicable fees. To be safe, pack a lightweight cabin bag and keep heavier items in checked luggage.","International query"
"67","My bag is 2 inches bigger than the size limit, is that okay?","en","baggage","departure","{""issue"":""oversized""}","Airlines at Islamabad International Airport may show some flexibility for cabin baggage that's slightly oversized by an inch or two, but this is entirely at the discretion of the check-in staff and gate agents, and there's no guarantee your bag will be accepted. The official size restrictions exist because overhead compartments and under-seat spaces in aircraft have fixed dimensions, and bags exceeding these measurements genuinely cannot fit safely. If your bag is only marginally larger - especially if it's a soft-sided bag that can compress when placed in the sizing frame - you may be allowed to proceed, particularly if the flight isn't fully booked and overhead bin space is available. However, during busy flights or with strict airline policies, even slightly oversized bags will be required to be checked at the gate or counter, often incurring additional fees. Hard-shell cases have no flexibility, so if they exceed dimensions, they must be checked. To avoid last-minute stress, if you know your bag is borderline, consider checking it voluntarily at the counter rather than risking gate-checking, as voluntary check-in is often free while gate-checking might have fees.","Size flexibility"
"68","Can I pack homemade mango pickle in my checked luggage?","en","baggage","departure","{""item"":""pickles""}","Yes, you can pack homemade mango pickle (achaar) and other traditional Pakistani pickles in your checked luggage, as these are food items allowed in checked baggage both for domestic and international flights from Pakistan. Homemade pickles are a popular item for travelers to carry between cities or take abroad as gifts or personal supplies. To pack pickles safely, use plastic containers or jars rather than glass, as glass can break during baggage handling, creating a mess and potentially damaging other bags. Make sure containers are completely sealed and leak-proof - double-bag them in plastic bags as an extra precaution, because pickle oil can seep through weak seals and stain clothing and other items in your suitcase. If you must use glass jars, wrap them very carefully in bubble wrap, towels, or clothing for cushioning, and place them in the center of your bag surrounded by soft items. For international travel, check your destination country's customs regulations regarding bringing in food products, as some countries restrict agricultural imports including pickles, oils, and preserved foods. Generally, small quantities for personal consumption are acceptable, but commercial quantities may face restrictions or require declaration.","Homemade food"
"69","I use a wheelchair, does it count in my baggage allowance?","en","baggage","departure","{""item"":""medical equipment""}","No, wheelchairs, mobility scooters, walkers, crutches, canes, and other mobility aids do not count toward your baggage allowance at Islamabad International Airport or on any airline operating from Pakistan. These assistive devices are transported completely free of charge regardless of size or weight, as they're classified as essential medical equipment under international aviation regulations. When you arrive at the airport, inform the check-in staff about your wheelchair so they can make appropriate arrangements - you can use your personal wheelchair throughout the terminal until reaching the aircraft door, where it will be tagged and stored in the aircraft hold. The airline will return your wheelchair to you at the aircraft door upon arrival, or you can request to have it delivered to the baggage claim area. If your wheelchair is battery-powered, special procedures apply depending on battery type - inform the airline in advance as lithium batteries require specific handling and documentation. Airlines provide manual wheelchairs free of charge if you need assistance moving through the airport. Besides wheelchairs, prosthetic limbs, portable oxygen concentrators (with prior approval), and other medical devices also travel free and don't affect your baggage allowance.","Medical equipment"
"70","My wife is inside, can I check in her baggage from here?","en","baggage","departure","{}","No, the passenger whose name is on the ticket must be physically present at the check-in counter with valid identification and boarding pass to check in baggage. This is a strict security regulation at all Pakistani airports including Islamabad International Airport, enforced to prevent unauthorized persons from checking bags and to ensure that the person responsible for the baggage contents is identified. Family members can certainly assist with carrying or pushing luggage to the counter, but the actual ticket holder must appear in person, present their ID (CNIC for domestic, passport for international), and confirm they packed their own bags when asked security questions by check-in staff. This rule exists because the passenger is legally and personally responsible for everything in their checked baggage, and staff need to verify identity and ask mandatory security questions directly to the traveler. If your wife is elsewhere in the airport, she needs to come to the check-in counter to complete the process. Airlines cannot accept baggage from anyone other than the ticketed passenger, even immediate family members, due to aviation security regulations.","Check-in presence"
"71","I'm carrying my cricket kit, do I need any special documents?","en","baggage","departure","{""item"":""sports equipment""}","No special documents or permits are required to carry cricket equipment as checked baggage at Islamabad International Airport - you only need your regular boarding pass and identification. Cricket bats, pads, helmets, gloves, stumps, and other cricket gear are commonly transported by passengers, especially on domestic Pakistani routes where the sport is extremely popular, and airlines are very familiar with handling such equipment. Your cricket kit will count toward your regular checked baggage weight allowance, so if your gear is heavy and you're concerned about exceeding limits, you might want to distribute items between multiple bags or be prepared to pay excess baggage fees. Cricket bats must be in checked luggage and cannot be carried in cabin baggage due to their potential use as a weapon - security will stop you if you attempt to bring them through the security checkpoint in hand luggage. For international travel, cricket equipment typically doesn't face import restrictions at most destinations, though it's wise to check if you're traveling to countries unfamiliar with the sport. If you're carrying valuable signed bats or specialized equipment, consider getting additional insurance coverage as airline liability for checked baggage is limited.","Sports documents"
"72","Can I check in my mother's sewing machine as baggage?","en","baggage","departure","{""item"":""sewing machine""}","Yes, you can check in a sewing machine as baggage at Islamabad International Airport, as household items and appliances are generally permitted in checked luggage provided they're properly packed and fall within size and weight restrictions. Sewing machines, whether traditional foot-pedal models or modern electric ones, are common items transported by passengers moving between cities, sending to relatives, or taking abroad. Before packing, remove the power cord if it's an electric model and pack it separately or wrap it securely around the machine, ensuring no loose parts can move around during transit. Remove or secure the needle, as loose needles can cause injury to baggage handlers. Pack the machine in its original box if available, or use a sturdy cardboard box or hard-shell suitcase with plenty of cushioning material like bubble wrap, foam, or thick clothing to prevent damage from impact during handling. The machine will count toward your checked baggage weight allowance - sewing machines can be heavy, so verify your weight limit and be prepared for excess fees if you exceed it. If the sewing machine is particularly valuable or antique, take photos before packing as documentation for insurance purposes, though airline liability for checked items is limited.","Household appliances"
"73","My flight boards in 40 minutes, can I still check baggage?","en","baggage","departure","{""issue"":""late check-in""}","You are cutting it extremely close to the baggage check-in deadline, and whether you can check baggage depends on your flight type and airline. For domestic flights within Pakistan, baggage check-in typically closes 45 minutes before departure, while international flights close 60 minutes before departure. With only 40 minutes until boarding time, you're likely past the deadline for international flights and right at the limit for domestic flights. Rush immediately to the check-in counter and explain your situation - some airlines may make exceptions if the queue isn't long and your documentation is ready, but they're not obligated to accept late baggage as it risks missing the flight's baggage loading deadline. If check-in has officially closed, you'll be offered the option to fly with cabin baggage only if your bags meet size limits, or you may need to rebook on a later flight. To avoid this situation, airports recommend arriving 3 hours early for international flights and 2 hours for domestic flights. The check-in deadline exists because checked bags must go through security screening, be transported to the aircraft, loaded in the cargo hold, and all documentation processed - this sequence requires time that can't be compressed.","Urgent timing"
"74","I want to take honey back to my village, any restrictions?","en","baggage","departure","{""item"":""honey""}","Honey is classified as a liquid substance for aviation security purposes, so it must follow liquid restrictions depending on whether you're carrying it in checked or cabin baggage. For checked luggage, you can pack honey in any quantity without restrictions - it's perfectly acceptable to carry multiple jars or bottles in your checked bag. However, make sure containers are tightly sealed and leak-proof, and wrap them in plastic bags as a precaution, because honey can make a very sticky mess if containers crack or leak during handling. For cabin baggage, honey follows the 100ml liquid rule - you can only carry containers of 100ml or less, and they must be placed in a clear, resealable plastic bag along with other liquids like shampoo and lotion, with the total not exceeding 1 liter. Most passengers prefer to pack honey in checked baggage to avoid these restrictions and because honey bottles are often larger than 100ml. If you're traveling domestically within Pakistan, these rules apply but enforcement may be more relaxed. For international travel, be aware that some countries have agricultural import restrictions on honey due to disease concerns, so check your destination's customs regulations.","Liquid honey rules"
"75","Can my telescope go in the overhead bin?","en","baggage","departure","{""item"":""telescope""}","Whether your telescope can go in the overhead bin as cabin baggage depends primarily on its size - it must fit within the standard cabin baggage dimensions of approximately 56cm x 45cm x 25cm (these exact measurements vary slightly by airline). Small portable telescopes, particularly refracting telescopes in compact carrying cases, often meet these requirements and can be carried in the cabin, which is actually preferable for expensive or delicate optical equipment. However, larger reflecting telescopes, dobsonian mounted scopes, or telescopes with extended tube lengths will exceed cabin size limits and must be checked as cargo. If your telescope is cabin-size but valuable, carry it on board to prevent potential damage from checked baggage handling - optical instruments are fragile and can be misaligned by impacts. Consider using a well-padded carrying case designed for telescopes, preferably a hard case for maximum protection. If you must check a larger telescope, pack it extremely carefully with foam padding, mark it as fragile, and consider purchasing additional insurance as airline liability for damaged items is limited. Remove or secure any loose parts like eyepieces, finder scopes, and mounting hardware separately.","Optical gear"
"76","My bag weighs exactly 23 kilos, will they still accept it?","en","baggage","departure","{}","Yes, if your bag weighs exactly 23 kilograms, it will be accepted without any excess baggage charges, as 23kg is the standard checked baggage weight limit for economy class on most airlines. The weighing scales at check-in counters are calibrated and accurate, and you're fortunate to be precisely at the limit. However, be aware that even exceeding the limit by 0.5kg or 1kg can result in excess baggage fees, which vary by airline but typically start around PKR 500-800 per kilogram for domestic flights and USD 15-30 per kilogram for international flights. If during weighing your bag shows 23.2kg or similar minimal excess, you might politely request the check-in agent's discretion, though they're not obligated to waive charges. To avoid excess fees if you're borderline, wear your heaviest items like boots or jacket rather than packing them, or shift some items to your cabin baggage if there's space available within its 7kg limit. Each airline's policy differs - some strictly enforce weight limits while others show flexibility for minor overages, particularly for premium class passengers or frequent flyers. Always pack with a margin below the limit to account for scale variations.","Exact weight"
