id,query,language,intent,terminal,entities,expected_response,notes
18,"Cabin luggage ke tor par kitne size ka bag ijazat hai?",roman_ur,baggage,departure,"{}","Maximum size 56cm x 36cm x 23cm hai","Size restrictions"
19,"Main free mein kitne bags check-in kar sakta hoon?",roman_ur,baggage,departure,"{}","Yeh aapki airline aur ticket class par depend karta hai; economy mein usually 1-2 bags ijazat hain","Varies by airline"
20,"Kya duty-free items cabin baggage allowance mein shamil hain?",roman_ur,baggage,departure,"{""item"":""duty-free""}","Duty-free purchases usually aapke cabin baggage allowance ke ilawa hoti hain","Shopping exception"
21,"Kya main apne checked baggage mein khane ki cheezain le ja sakta hoon?",roman_ur,baggage,departure,"{""item"":""food""}","Zyada tar non-liquid food items ijazat hain; fresh produce ke liye destination country restrictions check karein","Varies by destination"
22,"Agar mera baggage size restrictions se zyada ho to kya hoga?",roman_ur,baggage,departure,"{}","Oversized baggage check karna zaroori hai aur additional fee lag sakti hai","Size violations"
23,"Kya baggage drop ke liye alag queue hai?",roman_ur,baggage,departure,"{}","Kuch airlines online check-in karne wale passengers ke liye dedicated baggage drop counters provide karti hain","Fast track option"
24,"Kya main electronics checked baggage mein le ja sakta hoon?",roman_ur,baggage,departure,"{""item"":""electronics""}","Qeemti electronics cabin baggage mein le jane ki tajweez hai taky nuqsan ya chori se bacha ja sake","Safety recommendation"
25,"Baggage check-in par kaun si items ka elaan karna zaroori hai?",roman_ur,baggage,departure,"{}","Qeemti items, nazuk saman, lithium batteries aur kisi bhi limited items ka elaan karein","Declaration requirements"
26,"Kya bare size ke saman ke liye storage facilities hain?",roman_ur,baggage,departure,"{}","Oversized baggage ko special counters par handle kiya jata hai; specific procedures ke liye apni airline se rabta karein","Special handling"
27,"Kya main online check-in ke baad baggage allowance add kar sakta hoon?",roman_ur,baggage,departure,"{}","Ji haan, aap baggage drop se pehle airport counter par additional allowance khareed sakte hain","Post check-in purchase"
28,"Cabin baggage mein kya ijazat nahi hai?",roman_ur,baggage,departure,"{}","Teez dhaar cheezain, tools, 100ml se zyada liquids aur sports goods cabin mein ijazat nahi","Security restrictions"
29,"Main kharab shuda baggage ki ittila kaise doon?",roman_ur,baggage,departure,"{}","Airport chornay se pehle foran airline ke baggage service counter par damaged baggage ki report karein","Damage claims"
30,"Kya main apni shadi ka libas cabin baggage ke tor par le ja sakti hoon?",roman_ur,baggage,departure,"{""item"":""wedding dress""}","Wedding dress cabin baggage ke tor par le jaye ja sakte hain agar wo overhead bin mein aa jayein ya aap garment bag ki darkhwast kar sakte hain","Special occasion"
31,"Kya aarzi tor par saman store karne ke liye locker hain?",roman_ur,baggage,departure,"{}","Departure hall mein fee ke iwaz temporary baggage storage lockers available hain","Storage option"
32,"Saman check-in ke liye kaun se documents chahiye?",roman_ur,baggage,departure,"{}","Baggage check-in ke liye aapko apna boarding pass aur valid ID/passport chahiye","Required documents"
33,"Kya main apne baggage allowance ko bags mein taqseem kar sakta hoon?",roman_ur,baggage,departure,"{}","Ji haan, aap apne total weight allowance ko multiple bags mein divide kar sakte hain jab tak har ek individual bag limit se exceed na kare","Weight distribution"
34,"Kya nazuk items checked baggage mein ijazat hain?",roman_ur,baggage,departure,"{""item"":""fragile""}","Nazuk items check ki ja sakti hain lekin munasib tareeqe se packed honi chahiyein; qeemti cheezain cabin mein le jane ki tajweez hai","Risk advisory"
35,"Students ke liye baggage allowance kya hai?",roman_ur,baggage,departure,"{""passenger_type"":""student""}","Kuch airlines students ke liye additional baggage allowance deti hain; specific policies ke liye apni airline se check karein","Special category"
36,"Kya main dawaayein cabin baggage mein le ja sakta hoon?",roman_ur,baggage,departure,"{""item"":""medicines""}","Ji haan, prescription medicines proper documentation ke sath cabin baggage mein ijazat hain","Medical exception"
37,"Airlines cabin baggage weight ke bare mein kitni strict hain?",roman_ur,baggage,departure,"{}","Zyada tar airlines khaas tor par peak seasons mein 7kg limit ko sakhti se enforce karti hain","Enforcement level"
38,"Kya main pet carriers ko baggage ke tor par check-in kar sakta hoon?",roman_ur,baggage,departure,"{""item"":""pet carrier""}","Approved carriers mein chote pets cabin mein ijazat ho sakte hain; bare pets checked baggage ya cargo ke tor par safar karein","Pet travel"
39,"Apne bag ko check karne se pehle mujhe kya nikalna chahiye?",roman_ur,baggage,departure,"{}","Tamam qeemti cheezain, documents, chabian, dawaayein, electronics aur kharab hone wali items nikal dein","Pre-check preparation"
40,"Kya camping equipment aur tent ijazat hain?",roman_ur,baggage,departure,"{""item"":""camping equipment""}","Camping equipment checked baggage mein ijazat hai; chaku jaise teez dhaar items munasib tareeqe se packed honi chahiyein","Outdoor gear"
41,"Kya main bachon ka khana cabin baggage mein le ja sakta hoon?",roman_ur,baggage,departure,"{""item"":""baby food""}","Baby food aur milk sheer khawar bachon ke sath safar karne wale passengers ke liye liquid restrictions se mustasna hain","Family exception"
42,"Agar main apna baggage tag jama nahi karta to kya hoga?",roman_ur,baggage,departure,"{}","Baggage tag aapke luggage claim karne ke liye zaroori hai; agar aap use kho dein to foran report karein","Important document"
43,"Kya premium economy ke liye weight restrictions hain?",roman_ur,baggage,departure,"{""class"":""premium economy""}","Premium economy passengers ko usually 25kg checked baggage allowance milti hai","Mid-tier class"
44,"Kya main dosre passengers ke sath baggage consolidate kar sakta hoon?",roman_ur,baggage,departure,"{}","Baggage pooling airline policy par depend karta hai; kuch ek hi booking par passengers ke liye ijazat deti hain","Group travel"
45,"Checked bags ke liye kaun si packaging tajweez ki jati hai?",roman_ur,baggage,departure,"{}","Nazuk items ke liye hard-shell suitcases istemal karein, tamam zippers secure karein aur TSA locks istemal karein","Packing advice"
46,"Kya batteries checked luggage mein ijazat hain?",roman_ur,baggage,departure,"{""item"":""batteries""}","Spare lithium batteries cabin baggage mein honi chahiyein; devices mein installed batteries check ki ja sakti hain","Battery rules"
47,"Kya main booking ke baad apne baggage allowance change kar sakta hoon?",roman_ur,baggage,departure,"{}","Ji haan, aap check-in se pehle online ya airport counter par additional allowance khareed sakte hain","Post-booking changes"
48,"Gumshuda baggage ki zimmedari ki had kya hai?",roman_ur,baggage,departure,"{}","International flights ke liye airlines ki zimmedari per passenger taqreeban 1,500-2,000 dollar tak limited hai","Compensation limits"
49,"Kya koi color-coded baggage tags hain?",roman_ur,baggage,departure,"{}","Airlines destination aur route ki shanakht ke liye color-coded tags istemal karti hain; priority tags mukhtalif rang ke ho sakte hain","Tag system"
50,"Kya main Christmas ki sajawat checked baggage mein le ja sakta hoon?",roman_ur,baggage,departure,"{""item"":""decorations""}","Ghair nazuk sajawat ijazat hai; sheeshe ki decorations se bachein ya unhein tootne se bachane ke liye munasib tareeqe se pack karein","Seasonal items"
