,,,,,
SNO,Intent,Language,User Query,Chatbot Response,Context
116,Check_in_info,English,Can I check in with a copy of my passport?,"No, original passports are mandatory for international travel. Photocopies are not accepted at check-in counters.",departure
117,Check_in_info,English,Are there restrooms near the check-in area?,"Yes, restrooms are located beside every departure hall gate, kept clean and accessible for all passengers.",departure
118,Check_in_info,English,Can I get a wheelchair on arrival at check-in?,"Yes, request one from your airline staff at the counter or call in advance. Assistance is available from check-in till boarding gate.",departure
119,Check_in_info,English,Is it allowed to carry perfumes in hand luggage?,"Yes, you can carry perfume bottles under 100 ml in your hand luggage. Larger bottles must go in checked bags.",departure
120,Check_in_info,English,Where can I ask for flight rescheduling?,"Rescheduling and cancellations are managed at the ticketing desk of your airline, located beside the main check-in area.",departure
121,Check_in_info,English,Can I check in with my pet cat?,"Yes, cats and small pets can travel if placed in approved carriers and with vaccination records. Inform your airline in advance.",departure
122,Check_in_info,English,What should I do if my luggage lock is broken?,Inform the counter agent immediately. The damaged lock will be noted on your baggage record to avoid disputes on arrival.,departure
123,Check_in_info,English,How can I track my luggage after check-in?,"Keep your baggage tag receipt. In case of loss, your airline can trace your bag using this number.",departure
124,Check_in_info,English,Can I check in baby stroller for free?,"Yes, strollers are checked in free of charge and returned at the aircraft door upon landing.",departure
125,Check_in_info,English,What happens if I lose my boarding pass before boarding?,Immediately report it to your airline counter before security. They can reissue it after verifying your ID.,departure
126,Check_in_info,English,Can I ask for window seat at check-in?,"Yes, you may request a window or aisle seat at the counter. Allocation depends on availability.",departure
127,Check_in_info,English,Is there a prayer room near check-in?,"Yes, prayer rooms for men and women are located near Gate 5 inside the departure hall.",departure
128,Check_in_info,English,Can I carry my camera equipment as hand-carry?,"Yes, cameras and lenses can be carried as hand luggage if they meet size and weight limits. Handle carefully during screening.",departure
129,Check_in_info,English,Is Wi-Fi free during check-in process?,"Yes, free Wi-Fi is available throughout the terminal. Connect to IIA-FreeNet and follow on-screen instructions.",departure
130,Check_in_info,English,How early should I check in for a group flight?,"For groups over 5 passengers, it’s best to arrive at least 3.5 hours before departure to ensure everyone is processed together.",departure
131,Check_in_info,English,Are face masks still required at check-in?,Masks are optional but recommended in crowded areas. Sanitizer dispensers are placed throughout the hall for public use.,departure
132,Check_in_info,English,Can I check in with damaged luggage?,"Yes, but inform the airline staff to mark the condition on your baggage receipt to avoid confusion later.",departure
133,Check_in_info,English,Can I bring sealed liquids like juice bottles?,"Only if they’re under 100 ml in carry-on or sealed properly in checked bags. Otherwise, they may be discarded at security.",departure
134,Check_in_info,English,Are there ATMs near check-in?,"Yes, multiple ATMs are available near the entrance and beside Row B for passenger convenience.",departure
135,Check_in_info,English,What happens if my printed ticket is blurred?,Staff can verify your booking using the PNR or CNIC number and issue a new boarding pass instantly.,departure
136,Check_in_info,English,Is there a separate check-in counter for VIPs?,"Yes, diplomatic and VIP passengers are assisted at dedicated counters with private waiting areas.",departure
137,Check_in_info,English,Can I check in power banks in luggage?,"No, power banks must be in your hand luggage due to airline safety regulations.",departure
138,Check_in_info,English,Can I check in sharp items like scissors?,"No, sharp items are prohibited in hand luggage. Place them in checked baggage.",departure
139,Check_in_info,English,Is there an emergency medical service near check-in?,"Yes, an airport medical unit operates 24/7 near Gate 3 for emergencies and first aid.",departure
140,Check_in_info,English,Can I keep extra bags in storage before check-in?,"Yes, you can store items temporarily at the baggage service counter beside Row C for a small hourly charge.",departure
141,Check_in_info,English,Are there smoking areas before check-in?,Smoking zones are available outside the terminal building only. The inside is a smoke-free area.,departure
142,Check_in_info,English,Can I check in fragile glass items?,"Yes, but label them clearly and request a “FRAGILE” tag from the counter staff.",departure
143,Check_in_info,English,Can I bring electronics like laptops and tablets?,"Yes, but remove them from your bags during security screening. Carry them in hand luggage.",departure
144,Check_in_info,English,Is there any charge for reissuing a lost boarding pass?,"Generally no, but some airlines charge a small administrative fee. Confirm with your airline staff.",departure
145,Check_in_info,English,Can I use digital payment apps to pay baggage fees?,"Yes, most airlines accept debit/credit cards and Pakistani digital wallets like Easypaisa or JazzCash for baggage payments.",departure
146,Check_in_info,English,How do I identify international vs domestic counters?,"International counters are marked in blue boards, while domestic are shown in green. Both have visible airline logos overhead.",departure
147,Check_in_info,English,Is check-in available for transit passengers?,"Yes, passengers arriving on connecting flights can recheck baggage at the Transit Help Desk near Gate 6.",departure
148,Check_in_info,English,Can I carry gifts wrapped in boxes?,"Avoid wrapping gifts before check-in. Security might need to inspect inside, so it’s better to wrap them after screening.",departure
149,Check_in_info,English,Can I check in a bicycle?,"Yes, bicycles must be partially dismantled and packed in boxes. Check your airline’s sports equipment policy for charges.",departure
150,Check_in_info,English,Can I check in without showing my ticket?,"No, you must show either a printed or digital ticket along with CNIC or passport at the counter.",departure
