id,query,language,intent,terminal,entities,expected_response,notes
28,"Kya VIP meet aur greet service hai?",roman_ur,facilities,departure,"{""service"":""VIP service""}","VIP meet aur greet services PAA ke sath advance booking ke zariye available hain","Premium service"
29,"Main SIM cards kahan se khareed sakta hoon?",roman_ur,facilities,departure,"{""facility"":""SIM card shop""}","Mobile phone SIM cards entrance ke qareeb telecom shops par available hain","Connectivity"
30,"Kya airport ke qareeb koi hotels hain?",roman_ur,facilities,departure,"{""facility"":""hotel""}","Airport hotels aur qareeb ki accommodation information desks ya booking counters ke zariye mil sakti hai","Lodging query"
31,"Jootay saaf karne ki service kahan hai?",roman_ur,facilities,departure,"{""service"":""shoeshine""}","Shoeshine stands departure lounge mein premium shops ke qareeb available hain","Personal service"
32,"Kya main free internet use kar sakta hoon?",roman_ur,facilities,departure,"{""service"":""internet""}","Ji haan, free WiFi poore mein available hai; internet kiosks business center mein hain","Web access"
33,"Public telephones kahan hain?",roman_ur,facilities,departure,"{""facility"":""telephone""}","Public telephone booths entrance ke qareeb aur departure lounge mein waqe hain","Communication"
34,"Kya airport par post office hai?",roman_ur,facilities,departure,"{""facility"":""post office""}","Business hours ke doran main entrance ke qareeb ek chota postal service counter available hai","Postal service"
35,"Intezar ke doran main TV kahan dekh sakta hoon?",roman_ur,facilities,departure,"{""facility"":""TV area""}","Khabrain aur flight information dikhane wali TV screens tamam gate seating areas mein hain","Entertainment"
36,"Kya koi massage services hain?",roman_ur,facilities,departure,"{""service"":""massage""}","Chair massage services Premium Lounge mein available hain","Relaxation service"
37,"Customer service center kahan hai?",roman_ur,facilities,departure,"{""facility"":""customer service""}","Customer service aur complaint office main departure hall mein waqe hai","Support desk"
38,"Kya main snacks aur drinks khareed sakta hoon?",roman_ur,facilities,departure,"{""facility"":""convenience store""}","Snacks aur beverages bechne wali convenience stores tamam gate clusters ke qareeb hain","Quick shopping"
39,"Lift aur escalators kahan hain?",roman_ur,facilities,departure,"{""facility"":""elevator""}","Elevators aur escalators terminal ke dono ends par waqe hain jo tamam floors ko connect karte hain","Vertical transport"
40,"Kya health screening area hai?",roman_ur,facilities,departure,"{""facility"":""health screening""}","Health screening aur temperature check stations entrance aur security ke baad hain","COVID measures"
41,"Main apna boarding pass kahan print kar sakta hoon?",roman_ur,facilities,departure,"{""service"":""printing""}","Boarding pass print karne ke liye self-service kiosks check-in counters ke qareeb hain","Check-in service"
42,"Kya koi luxury brand shops hain?",roman_ur,facilities,departure,"{""facility"":""luxury shop""}","Luxury aur premium brand stores security ke baad duty-free area mein hain","High-end shopping"
43,"Airline ticket office kahan hai?",roman_ur,facilities,departure,"{""facility"":""ticket office""}","Airline ticket counters aur offices check-in area mein hain","Ticketing"
44,"Kya main apne jootay repair karwa sakta hoon?",roman_ur,facilities,departure,"{""service"":""shoe repair""}","Quick shoe repair services kabhi kabhar shoeshine stands ke qareeb available hain","Repair service"
45,"Vending machines kahan hain?",roman_ur,facilities,departure,"{""facility"":""vending machine""}","Snacks aur drinks ke liye vending machines poore terminal mein waqe hain","Automated service"
46,"Kya maon ke liye nursery room hai?",roman_ur,facilities,departure,"{""facility"":""nursery""}","Privacy aur facilities ke sath Gate 3 ke qareeb ek dedicated mother aur baby room available hai","Maternal care"
47,"Main flight information displays kahan se talash kar sakta hoon?",roman_ur,facilities,departure,"{""facility"":""display board""}","Flight information display screens poore terminal aur tamam gates par hain","Flight info"
48,"Kya koi jewelry shops hain?",roman_ur,facilities,departure,"{""facility"":""jewelry shop""}","Jewelry aur accessories shops departure shopping area mein hain","Luxury items"
49,"Complaint aur feedback box kahan hai?",roman_ur,facilities,departure,"{""facility"":""feedback""}","Feedback forms aur complaint boxes customer service desks aur information counters par hain","Passenger feedback"
50,"Kya main apne credit card se VIP lounge tak access hasil kar sakta hoon?",roman_ur,facilities,departure,"{""facility"":""lounge"",""payment"":""credit card""}","Kuch premium credit cards muft lounge access offer karte hain; lounge reception se check karein","Card benefits"
