id,سوال (Question),جواب (Answer)
20,کیا آج ریاض کے لیے کوئی فلائٹ ہے؟,جی ہاں، پی آئی اے اور سعودی ایئرلائن دونوں کی شام کے وقت ریاض کے لیے فلائٹس موجود ہیں۔
21,بورڈنگ پاس کہاں سے ملتا ہے؟,آپ اپنی ایئرلائن کے چیک اِن کاؤنٹر سے شناختی کارڈ اور ٹکٹ دکھا کر بورڈنگ پاس حاصل کر سکتے ہیں۔
22,کیا صبح کی فلائٹ کراچی کے لیے ہے؟,جی ہاں، صبح 6:30 پر پی آئی اے اور 7:00 پر ایئر بلو کی فلائٹس کراچی کے لیے روانہ ہوتی ہیں۔
23,گیٹ نمبر کی تصدیق کیسے ہوگی؟,گیٹ نمبر آپ کے بورڈنگ پاس پر درج ہوتا ہے، اور اگر تبدیلی ہو تو اسکرین پر فوری اپڈیٹ ہو جاتا ہے۔
24,پروازوں میں تاخیر کی معلومات کہاں سے مل سکتی ہیں؟,آپ اپنی ایئرلائن کے موبائل ایپ یا ڈیپارچر اسکرین سے تاخیر کی تازہ معلومات حاصل کر سکتے ہیں۔
25,کیا آج لندن کے لیے فلائٹ ہے؟,جی ہاں، برٹش ایئر ویز کی فلائٹ آج رات لندن کے لیے روانہ ہوگی۔ بورڈنگ ایک گھنٹہ پہلے گیٹ 9 سے شروع ہوگی۔
26,‘بورڈنگ سون’ کا کیا مطلب ہے؟,‘بورڈنگ سون’ کا مطلب ہے کہ بورڈنگ اگلے 10 سے 15 منٹ میں شروع ہونے والی ہے۔
27,فلائٹ نمبر کہاں دیکھ سکتا ہوں؟,فلائٹ نمبر آپ کے ٹکٹ یا کنفرمیشن ایس ایم ایس میں لکھا ہوتا ہے۔
28,میری فلائٹ وقت پر ہے؟,جی ہاں، ابھی تمام فلائٹس شیڈول کے مطابق وقت پر ہیں۔
29,کیا موسم کی وجہ سے پرواز تاخیر کا شکار ہو سکتی ہے؟,ابھی موسم صاف ہے، مگر اگر کوئی تاخیر ہو تو فوری اعلان کیا جائے گا۔
30,ایمرٹس فلائٹ ای کے 613 کب بورڈنگ کرے گی؟,ایمرٹس فلائٹ ای کے 613 دبئی کے لیے روانگی سے 45 منٹ پہلے گیٹ 11 سے بورڈنگ شروع کرے گی۔
31,کیا کوئٹہ کے لیے کوئی شام کی فلائٹ ہے؟,جی، ایئر سیال کی فلائٹ کوئٹہ کے لیے رات 8:10 بجے روانہ ہوگی۔
32,ایئر بلو کی کراچی جانے والی فلائٹ کب روانہ ہوگی؟,ایئر بلو فلائٹ پی اے 203 شام 5:45 بجے روانہ ہوگی۔
33,ایئرلائن ہیلپ ڈیسک کہاں ہے؟,تمام ایئرلائنز کے ہیلپ ڈیسک چیک اِن کاؤنٹرز کے سامنے موجود ہیں۔
34,مسقط جانے والی فلائٹ جا چکی ہے؟,جی ہاں، سلام ایئر کی فلائٹ مسقط کے لیے 20 منٹ پہلے روانہ ہو گئی ہے۔
35,اگر میں چیک اِن کے لیے لیٹ ہو جاؤں تو؟,اگر چیک اِن بند ہو گیا ہو تو فوری طور پر اپنی ایئرلائن کے کاؤنٹر پر جائیں۔
36,کیا میری فلائٹ منسوخ یا تاخیر کا شکار ہے؟,براہ کرم فلائٹ نمبر بتائیں، میں آپ کو تازہ ترین اسٹیٹس بتا سکتا ہوں۔
37,شارجہ جانے والی فلائٹ وقت پر ہے؟,جی، ایئر عربیہ کی فلائٹ شارجہ کے لیے وقت پر ہے۔
38,آج مدینہ کے لیے فلائٹ ہے؟,جی ہاں، سعودی ایئر لائن کی رات 11:45 بجے مدینہ کے لیے فلائٹ ہے۔
39,میرا ٹکٹ درست ہے یا نہیں؟,آپ اپنے ٹکٹ کی تصدیق اپنی ایئرلائن کے کاؤنٹر پر کر سکتے ہیں۔
40,سکردو جانے والی فلائٹ کب روانہ ہوگی؟,سکردو کی فلائٹ صبح 8:20 بجے روانہ ہوگی۔
41,فلائٹ کے آخری اعلانات کہاں کیے جاتے ہیں؟,تمام اعلانات لاؤڈ اسپیکرز پر کیے جاتے ہیں اور اسکرینز پر بھی دکھائے جاتے ہیں۔
42,ری شیڈول فلائٹ کی اطلاع کیسے ملے گی؟,اگر فلائٹ ری شیڈول ہو جائے تو آپ کو ایس ایم ایس یا ای میل کے ذریعے اطلاع ملے گی۔
43,کیا آج کوالالمپور کے لیے فلائٹ ہے؟,جی ہاں، ملیشیا ایئر لائن کی فلائٹ رات 10:30 پر روانہ ہوگی۔
44,کیا میں فلائٹ کا وقت تبدیل کر سکتا ہوں؟,جی ہاں، آپ اپنی ایئرلائن کے کاؤنٹر پر وقت کی تبدیلی کی درخواست دے سکتے ہیں۔
45,کیا آج دوپہر ابوظہبی کے لیے فلائٹ ہے؟,جی ہاں، اتحاد ایئر ویز کی فلائٹ دوپہر 2:15 بجے روانہ ہوگی۔
46,میری کنیکٹنگ فلائٹ کا وقت کہاں معلوم ہوگا؟,آپ اپنی کنیکٹنگ فلائٹ کا وقت ایئرلائن کے ٹرانسفر ڈیسک سے معلوم کر سکتے ہیں۔
47,میرا فلائٹ نمبر کہاں لکھا ہے؟,آپ کا فلائٹ نمبر آپ کے ٹکٹ اور بورڈنگ پاس پر درج ہوتا ہے۔
48,کیا کل صبح دوحہ کے لیے فلائٹ ہے؟,جی ہاں، کل صبح 9:10 بجے قطر ایئر ویز کی فلائٹ دوحہ کے لیے روانہ ہوگی۔
49,کیا میں فلائٹ اسٹیٹس آن لائن چیک کر سکتا ہوں؟,جی ہاں، آپ اپنی ایئرلائن کی ویب سائٹ پر فلائٹ نمبر ڈال کر تازہ معلومات دیکھ سکتے ہیں۔
50,فلائٹ کے اعلان کب ہوتے ہیں؟,فلائٹ کے اعلان روانگی سے تقریباً 30 منٹ پہلے شروع ہو جاتے ہیں۔ براہ کرم گیٹ کے قریب رہیں۔
