id,query,language,intent,terminal,entities,expected_response,notes
28,"Is there a VIP meet and greet service?",en,facilities,departure,"{""service"":""VIP service""}","VIP meet and greet services are available through advance booking with PAA","Premium service"
29,"Where can I buy SIM cards?",en,facilities,departure,"{""facility"":""SIM card shop""}","Mobile phone SIM cards are available at telecom shops near the entrance","Connectivity"
30,"Are there any hotels near the airport?",en,facilities,departure,"{""facility"":""hotel""}","Airport hotels and nearby accommodations can be found via information desks or booking counters","Lodging query"
31,"Where is the shoeshine service?",en,facilities,departure,"{""service"":""shoeshine""}","Shoeshine stands are available in the departure lounge near the premium shops","Personal service"
32,"Can I access the internet for free?",en,facilities,departure,"{""service"":""internet""}","Yes, free WiFi is available throughout; internet kiosks are in the business center","Web access"
33,"Where are the public telephones?",en,facilities,departure,"{""facility"":""telephone""}","Public telephone booths are located near the entrance and in the departure lounge","Communication"
34,"Is there a post office at the airport?",en,facilities,departure,"{""facility"":""post office""}","A small postal service counter is available near the main entrance during business hours","Postal service"
35,"Where can I watch TV while waiting?",en,facilities,departure,"{""facility"":""TV area""}","TV screens showing news and flight information are in all gate seating areas","Entertainment"
36,"Are there any massage services?",en,facilities,departure,"{""service"":""massage""}","Chair massage services are available in the Premium Lounge","Relaxation service"
37,"Where is the customer service center?",en,facilities,departure,"{""facility"":""customer service""}","Customer service and complaint office is located in the main departure hall","Support desk"
38,"Can I buy snacks and drinks?",en,facilities,departure,"{""facility"":""convenience store""}","Convenience stores selling snacks and beverages are near all gate clusters","Quick shopping"
39,"Where are the elevator and escalators?",en,facilities,departure,"{""facility"":""elevator""}","Elevators and escalators are located at both ends of the terminal connecting all floors","Vertical transport"
40,"Is there a health screening area?",en,facilities,departure,"{""facility"":""health screening""}","Health screening and temperature check stations are at the entrance and after security","COVID measures"
41,"Where can I print my boarding pass?",en,facilities,departure,"{""service"":""printing""}","Self-service kiosks for printing boarding passes are near check-in counters","Check-in service"
42,"Are there any luxury brand shops?",en,facilities,departure,"{""facility"":""luxury shop""}","Luxury and premium brand stores are in the duty-free area after security","High-end shopping"
43,"Where is the airline ticket office?",en,facilities,departure,"{""facility"":""ticket office""}","Airline ticket counters and offices are in the check-in area","Ticketing"
44,"Can I get my shoes repaired?",en,facilities,departure,"{""service"":""shoe repair""}","Quick shoe repair services are occasionally available near shoeshine stands","Repair service"
45,"Where are the vending machines?",en,facilities,departure,"{""facility"":""vending machine""}","Vending machines for snacks and drinks are located throughout the terminal","Automated service"
46,"Is there a nursery room for mothers?",en,facilities,departure,"{""facility"":""nursery""}","A dedicated mother and baby room is available near Gate 3 with privacy and facilities","Maternal care"
47,"Where can I find flight information displays?",en,facilities,departure,"{""facility"":""display board""}","Flight information display screens are throughout the terminal and at all gates","Flight info"
48,"Are there any jewelry shops?",en,facilities,departure,"{""facility"":""jewelry shop""}","Jewelry and accessories shops are in the departure shopping area","Luxury items"
49,"Where is the complaint and feedback box?",en,facilities,departure,"{""facility"":""feedback""}","Feedback forms and complaint boxes are at customer service desks and information counters","Passenger feedback"
50,"Can I access the VIP lounge with my credit card?",en,facilities,departure,"{""facility"":""lounge"",""payment"":""credit card""}","Some premium credit cards offer complimentary lounge access; check with lounge reception","Card benefits"
