id,query,language,intent,terminal,entities,expected_response,notes
29,"How do I report damaged baggage?",en,baggage,departure,"{}","Report damaged baggage immediately at the airline's baggage service counter before leaving the airport","Damage claims"
30,"Can I carry my wedding dress as cabin baggage?",en,baggage,departure,"{""item"":""wedding dress""}","Wedding dresses can be carried as cabin baggage if they fit in overhead bins or you can request a garment bag","Special occasion"
31,"Are there lockers to store baggage temporarily?",en,baggage,departure,"{}","Temporary baggage storage lockers are available in the departure hall for a fee","Storage option"
32,"What documents do I need for baggage check-in?",en,baggage,departure,"{}","You need your boarding pass and valid ID/passport for baggage check-in","Required documents"
33,"Can I split my baggage allowance between bags?",en,baggage,departure,"{}","Yes, you can distribute your total weight allowance across multiple bags as long as each doesn't exceed individual bag limits","Weight distribution"
34,"Are fragile items allowed in checked baggage?",en,baggage,departure,"{""item"":""fragile""}","Fragile items can be checked but should be properly packed; it's recommended to carry valuables in cabin","Risk advisory"
35,"What is the baggage allowance for students?",en,baggage,departure,"{""passenger_type"":""student""}","Some airlines offer additional baggage allowance for students; check with your airline for specific policies","Special category"
36,"Can I carry medicines in cabin baggage?",en,baggage,departure,"{""item"":""medicines""}","Yes, prescription medicines are allowed in cabin baggage with proper documentation","Medical exception"
37,"How strict are airlines about cabin baggage weight?",en,baggage,departure,"{}","Most airlines strictly enforce the 7kg limit, especially during peak seasons","Enforcement level"
38,"Can I check in pet carriers as baggage?",en,baggage,departure,"{""item"":""pet carrier""}","Small pets in approved carriers may be allowed in cabin; larger pets must travel as checked baggage or cargo","Pet travel"
39,"What should I remove before checking my bag?",en,baggage,departure,"{}","Remove all valuables, documents, keys, medicines, electronics, and perishables","Pre-check preparation"
40,"Are camping equipment and tents allowed?",en,baggage,departure,"{""item"":""camping equipment""}","Camping equipment is allowed in checked baggage; sharp items like knives must be properly packed","Outdoor gear"
41,"Can I carry baby food in cabin baggage?",en,baggage,departure,"{""item"":""baby food""}","Baby food and milk are exempt from liquid restrictions for passengers traveling with infants","Family exception"
42,"What happens if I don't collect my baggage tag?",en,baggage,departure,"{}","The baggage tag is essential for claiming your luggage; report immediately if you lose it","Important document"
43,"Are there weight restrictions for premium economy?",en,baggage,departure,"{""class"":""premium economy""}","Premium economy passengers typically get 25kg checked baggage allowance","Mid-tier class"
44,"Can I consolidate baggage with other passengers?",en,baggage,departure,"{}","Baggage pooling depends on airline policy; some allow it for passengers on same booking","Group travel"
45,"What packaging is recommended for checked bags?",en,baggage,departure,"{}","Use hard-shell suitcases for fragile items, secure all zippers, and use TSA locks","Packing advice"
46,"Are batteries allowed in checked luggage?",en,baggage,departure,"{""item"":""batteries""}","Spare lithium batteries must be in cabin baggage; installed batteries in devices can be checked","Battery rules"
47,"Can I change my baggage allowance after booking?",en,baggage,departure,"{}","Yes, you can purchase additional allowance online before check-in or at the airport counter","Post-booking changes"
48,"What is the liability limit for lost baggage?",en,baggage,departure,"{}","Airlines' liability is limited to approximately USD 1,500-2,000 per passenger for international flights","Compensation limits"
49,"Are there any color-coded baggage tags?",en,baggage,departure,"{}","Airlines use color-coded tags to identify destination and routing; priority tags may be different colors","Tag system"
50,"Can I carry Christmas decorations in checked baggage?",en,baggage,departure,"{""item"":""decorations""}","Non-fragile decorations are allowed; avoid glass ornaments or properly pack them to prevent breakage","Seasonal items"
