id,query,language,intent,terminal,entities,expected_response,notes
11,"کیا میں اپنے چیک شدہ سامان کو تالا لگا سکتا ہوں؟",ur,baggage,departure,"{}","جی ہاں، آپ TSA منظور شدہ تالے استعمال کر سکتے ہیں؛ عام تالوں سے بچیں کیونکہ سیکیورٹی کو آپ کے بیگ کا معائنہ کرنا پڑ سکتا ہے","حفاظتی مشورہ"
12,"اگر میرا سامان زیادہ وزنی ہو تو کیا ہوگا؟",ur,bagbage,departure,"{}","آپ کو اضافی سامان کی فیس دینی ہوگی یا وزن کی حد پوری کرنے کے لیے چیزیں نکالنی ہوں گی","عام تشویش"
13,"کیا کھیلوں کا سامان چیک شدہ سامان میں اجازت ہے؟",ur,baggage,departure,"{""item"":""sports equipment""}","جی ہاں، گولف کلب اور سکی جیسے کھیلوں کا سامان اجازت ہے لیکن اضافی چارجز لگ سکتے ہیں","خاص سامان"
14,"کیا میں اپنے کیبن بیگ میں مائعات لے جا سکتا ہوں؟",ur,baggage,departure,"{""item"":""liquids""}","مائعات 100 ملی لیٹر یا اس سے کم کے کنٹینرز میں ہونے چاہئیں، صاف پلاسٹک بیگ میں رکھے ہوئے (زیادہ سے زیادہ 1 لیٹر)","سیکیورٹی قاعدہ"
15,"بزنس کلاس کا سامان کی اجازت کیا ہے؟",ur,baggage,departure,"{""class"":""business""}","بزنس کلاس مسافروں کو 30 کلو چیک شدہ سامان اور 7 کلو کیبن سامان کی اجازت ہے","پریمیم کلاس"
16,"کیا پاور بینک چیک شدہ سامان میں لے جا سکتے ہیں؟",ur,baggage,departure,"{""item"":""power bank""}","نہیں، پاور بینک صرف کیبن سامان میں ہونے چاہئیں آگ کی حفاظت کے ضوابط کی وجہ سے","اہم پابندی"
17,"کیا میں ہوائی اڈے پر اپنے سامان کو لپیٹ سکتا ہوں؟",ur,baggage,departure,"{}","جی ہاں، چیک ان کے علاقے کے قریب فیس کے عوض سامان لپیٹنے کی سروس دستیاب ہے","اضافی خدمت"
18,"کیبن سامان کے طور پر کتنے سائز کا بیگ اجازت ہے؟",ur,baggage,departure,"{}","زیادہ سے زیادہ سائز 56 سینٹی میٹر x 36 سینٹی میٹر x 23 سینٹی میٹر ہے","سائز کی پابندیاں"
19,"میں مفت میں کتنے بیگ چیک ان کر سکتا ہوں؟",ur,baggage,departure,"{}","یہ آپ کی ایئر لائن اور ٹکٹ کلاس پر منحصر ہے؛ اکانومی میں عام طور پر 1-2 بیگ اجازت ہیں","ایئر لائن کے لحاظ سے مختلف"
20,"کیا ڈیوٹی فری اشیاء کیبن سامان کی اجازت میں شامل ہیں؟",ur,baggage,departure,"{""item"":""duty-free""}","ڈیوٹی فری خریداریاں عام طور پر آپ کے کیبن سامان کی اجازت کے علاوہ ہوتی ہیں","خریداری کی استثنیٰ"
21,"کیا میں اپنے چیک شدہ سامان میں کھانے کی اشیاء لے جا سکتا ہوں؟",ur,baggage,departure,"{""item"":""food""}","زیادہ تر غیر مائع کھانے کی اشیاء اجازت ہیں؛ تازہ پیداوار کے لیے منزل ملک کی پابندیاں چیک کریں","منزل کے لحاظ سے مختلف"
22,"اگر میرا سامان سائز کی پابندیوں سے زیادہ ہو تو کیا ہوگا؟",ur,baggage,departure,"{}","بڑے سائز کا سامان چیک کرنا ضروری ہے اور اضافی فیس لگ سکتی ہے","سائز کی خلاف ورزی"
23,"کیا سامان جمع کرانے کے لیے الگ قطار ہے؟",ur,baggage,departure,"{}","کچھ ایئر لائنز آن لائن چیک ان کرنے والے مسافروں کے لیے الگ سامان جمع کرانے کے کاؤنٹر فراہم کرتی ہیں","فاسٹ ٹریک آپشن"
24,"کیا میں الیکٹرانکس چیک شدہ سامان میں لے جا سکتا ہوں؟",ur,baggage,departure,"{""item"":""electronics""}","قیمتی الیکٹرانکس کیبن سامان میں لے جانے کی تجویز ہے تاکہ نقصان یا چوری سے بچا جا سکے","حفاظتی تجویز"
25,"سامان چیک ان پر کون سی اشیاء کا اعلان کرنا ضروری ہے؟",ur,baggage,departure,"{}","قیمتی اشیاء، نازک سامان، لتھیم بیٹریاں اور کسی بھی محدود اشیاء کا اعلان کریں","اعلان کی ضروریات"
26,"کیا بڑے سائز کے سامان کے لیے ذخیرہ کی سہولیات ہیں؟",ur,baggage,departure,"{}","بڑے سائز کے سامان کو خاص کاؤنٹروں پر سنبھالا جاتا ہے؛ مخصوص طریقہ کار کے لیے اپنی ایئر لائن سے رابطہ کریں","خاص نمٹنا"
27,"کیا میں آن لائن چیک ان کے بعد سامان کی اجازت شامل کر سکتا ہوں؟",ur,baggage,departure,"{}","جی ہاں، آپ سامان جمع کرانے سے پہلے ہوائی اڈے کے کاؤنٹر پر اضافی اجازت خرید سکتے ہیں","چیک ان کے بعد خریداری"
28,"کیبن سامان میں کیا اجازت نہیں ہے؟",ur,baggage,departure,"{}","تیز دھار چیزیں، اوزار، 100 ملی لیٹر سے زیادہ مائعات اور کھیلوں کا سامان کیبن میں اجازت نہیں","سیکیورٹی پابندیاں"
29,"میں خراب شدہ سامان کی اطلاع کیسے دوں؟",ur,baggage,departure,"{}","ہوائی اڈہ چھوڑنے سے پہلے فوری طور پر ایئر لائن کے سامان کی سروس کاؤنٹر پر خراب شدہ سامان کی اطلاع دیں","نقصان کے دعوے"
30,"کیا میں اپنی شادی کا لباس کیبن سامان کے طور پر لے جا سکتی ہوں؟",ur,baggage,departure,"{""item"":""wedding dress""}","شادی کے لباس کیبن سامان کے طور پر لے جائے جا سکتے ہیں اگر وہ اوور ہیڈ بن میں آ جائیں یا آپ گارمنٹ بیگ کی درخواست کر سکتے ہیں","خاص موقع"
31,"کیا عارضی طور پر سامان ذخیرہ کرنے کے لیے لاکر ہیں؟",ur,baggage,departure,"{}","روانگی ہال میں فیس کے عوض عارضی سامان ذخیرہ کرنے کے لاکر دستیاب ہیں","ذخیرہ کا آپشن"
32,"سامان چیک ان کے لیے کون سے دستاویزات چاہیے؟",ur,baggage,departure,"{}","سامان چیک ان کے لیے آپ کو اپنا بورڈنگ پاس اور درست شناختی کارڈ/پاسپورٹ چاہیے","مطلوبہ دستاویزات"
33,"کیا میں اپنے سامان کی اجازت کو بیگوں میں تقسیم کر سکتا ہوں؟",ur,baggage,departure,"{}","جی ہاں، آپ اپنے کل وزن کی اجازت کو متعدد بیگوں میں تقسیم کر سکتے ہیں جب تک کہ ہر ایک انفرادی بیگ کی حد سے تجاوز نہ کرے","وزن کی تقسیم"
34,"کیا نازک اشیاء چیک شدہ سامان میں اجازت ہیں؟",ur,baggage,departure,"{""item"":""fragile""}","نازک اشیاء چیک کی جا سکتی ہیں لیکن مناسب طریقے سے پیک ہونی چاہئیں؛ قیمتی چیزیں کیبن میں لے جانے کی تجویز ہے","خطرے کا مشورہ"
35,"طلباء کے لیے سامان کی اجازت کیا ہے؟",ur,baggage,departure,"{""passenger_type"":""student""}","کچھ ایئر لائنز طلباء کے لیے اضافی سامان کی اجازت دیتی ہیں؛ مخصوص پالیسیوں کے لیے اپنی ایئر لائن سے چیک کریں","خاص زمرہ"
36,"کیا میں دوائیں کیبن سامان میں لے جا سکتا ہوں؟",ur,baggage,departure,"{""item"":""medicines""}","جی ہاں، نسخے کی دوائیں مناسب دستاویزات کے ساتھ کیبن سامان میں اجازت ہیں","طبی استثنیٰ"
37,"ایئر لائنز کیبن سامان کے وزن کے بارے میں کتنی سخت ہیں؟",ur,baggage,departure,"{}","زیادہ تر ایئر لائنز خاص طور پر چوٹی کے موسموں میں 7 کلو کی حد کو سختی سے نافذ کرتی ہیں","نفاذ کی سطح"
38,"کیا میں پالتو جانوروں کے کیریئر کو سامان کے طور پر چیک ان کر سکتا ہوں؟",ur,baggage,departure,"{""item"":""pet carrier""}","منظور شدہ کیریئر میں چھوٹے پالتو جانور کیبن میں اجازت ہو سکتے ہیں؛ بڑے پالتو جانور چیک شدہ سامان یا کارگو کے طور پر سفر کریں","پالتو جانوروں کا سفر"
39,"اپنے بیگ کو چیک کرنے سے پہلے مجھے کیا نکالنا چاہیے؟",ur,baggage,departure,"{}","تمام قیمتی چیزیں، دستاویزات، چابیاں، دوائیں، الیکٹرانکس اور خراب ہونے والی اشیاء نکال دیں","چیک سے پہلے کی تیاری"
40,"کیا کیمپنگ کا سامان اور خیمے اجازت ہیں؟",ur,baggage,departure,"{""item"":""camping equipment""}","کیمپنگ کا سامان چیک شدہ سامان میں اجازت ہے؛ چاقو جیسی تیز دھار چیزیں مناسب طریقے سے پیک ہونی چاہئیں","آؤٹ ڈور گیئر"
41,"کیا میں بچوں کا کھانا کیبن سامان میں لے جا سکتا ہوں؟",ur,baggage,departure,"{""item"":""baby food""}","بچوں کا کھانا اور دودھ شیر خوار بچوں کے ساتھ سفر کرنے والے مسافروں کے لیے مائع پابندیوں سے مستثنیٰ ہیں","خاندانی استثنیٰ"
42,"اگر میں اپنا سامان کا ٹیگ جمع نہیں کرتا تو کیا ہوگا؟",ur,baggage,departure,"{}","سامان کا ٹیگ آپ کے سامان کا دعویٰ کرنے کے لیے ضروری ہے؛ اگر آپ اسے کھو دیں تو فوری طور پر اطلاع دیں","اہم دستاویز"
43,"کیا پریمیم اکانومی کے لیے وزن کی پابندیاں ہیں؟",ur,baggage,departure,"{""class"":""premium economy""}","پریمیم اکانومی مسافروں کو عام طور پر 25 کلو چیک شدہ سامان کی اجازت ملتی ہے","درمیانی درجے کی کلاس"
44,"کیا میں دوسرے مسافروں کے ساتھ سامان یکجا کر سکتا ہوں؟",ur,baggage,departure,"{}","سامان کا ملاپ ایئر لائن کی پالیسی پر منحصر ہے؛ کچھ ایک ہی بکنگ پر مسافروں کے لیے اجازت دیتی ہیں","گروپ سفر"
45,"چیک شدہ بیگوں کے لیے کون سی پیکیجنگ تجویز کی جاتی ہے؟",ur,baggage,departure,"{}","نازک اشیاء کے لیے سخت خول والے سوٹ کیس استعمال کریں، تمام زپ محفوظ کریں اور TSA تالے استعمال کریں","پیکنگ کا مشورہ"
46,"کیا بیٹریاں چیک شدہ سامان میں اجازت ہیں؟",ur,baggage,departure,"{""item"":""batteries""}","اضافی لتھیم بیٹریاں کیبن سامان میں ہونی چاہئیں؛ آلات میں نصب بیٹریاں چیک کی جا سکتی ہیں","بیٹری کے قواعد"
47,"کیا میں بکنگ کے بعد اپنے سامان کی اجازت تبدیل کر سکتا ہوں؟",ur,baggage,departure,"{}","جی ہاں، آپ چیک ان سے پہلے آن لائن یا ہوائی اڈے کے کاؤنٹر پر اضافی اجازت خرید سکتے ہیں","بکنگ کے بعد تبدیلیاں"
48,"گمشدہ سامان کی ذمہ داری کی حد کیا ہے؟",ur,baggage,departure,"{}","بین الاقوامی پروازوں کے لیے ایئر لائنز کی ذمہ داری فی مسافر تقریباً 1,500-2,000 ڈالر تک محدود ہے","معاوضے کی حدود"
49,"کیا کوئی رنگین کوڈ والے سامان کے ٹیگ ہیں؟",ur,baggage,departure,"{}","ایئر لائنز منزل اور راستے کی شناخت کے لیے رنگین کوڈ والے ٹیگ استعمال کرتی ہیں؛ ترجیحی ٹیگ مختلف رنگ کے ہو سکتے ہیں","ٹیگ کا نظام"
50,"کیا میں کرسمس کی سجاوٹ چیک شدہ سامان میں لے جا سکتا ہوں؟",ur,baggage,departure,"{""item"":""decorations""}","غیر نازک سجاوٹ اجازت ہے؛ شیشے کی سجاوٹ سے بچیں یا انہیں ٹوٹنے سے بچانے کے لیے مناسب طریقے سے پیک کریں","موسمی اشیاء"
