#,مسافر کا سوال,چیٹ بوٹ کا جواب, ارادہ,سیاق و سباق, زبان,
19,کیا میں واپس جانے والی فلائٹ کے لیے بھی چیک ان کر سکتا ہوں؟,عام طور پر صرف موجودہ پرواز کے لیے چیک ان کیا جاتا ہے۔,چیک ان معلومات,روانگی,اُردو,
20,بورڈنگ پاس پر کیا معلومات لکھی ہوتی ہیں؟,اس پر گیٹ نمبر، نشست، اور بورڈنگ ٹائم درج ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
21,کیا میں بیگ کے ساتھ پلاسٹک ریپنگ کروا سکتا ہوں؟,جی ہاں، ہال کے اندر یہ سہولت موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
22,کیا چیک ان کے بعد باہر جا سکتا ہوں؟,نہیں، سکیورٹی چیک کے بعد دوبارہ داخلہ ممنوع ہے۔,چیک ان معلومات,روانگی,اُردو,
23,اگر میری پرواز تاخیر کا شکار ہے تو کیا کاؤنٹر کھلا رہے گا؟,جی ہاں، فلائٹ شیڈول کے مطابق کاؤنٹر ایڈجسٹ کیا جاتا ہے۔,چیک ان معلومات,روانگی,اُردو,
24,میرا بورڈنگ پاس گم گیا ہے، کیا دوبارہ مل سکتا ہے؟,جی ہاں، اپنی ایئرلائن کے کاؤنٹر سے نیا پاس حاصل کریں۔,چیک ان معلومات,روانگی,اُردو,
25,کیا میں کسی اور کا بیگ جمع کرا سکتا ہوں؟,نہیں، ہر مسافر کو اپنا سامان خود جمع کرانا ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
26,میں نے ای ٹکٹ خریدا ہے، کیا پرنٹ ضروری ہے؟,نہیں، موبائل پر دکھانا کافی ہے۔,چیک ان معلومات,روانگی,اُردو,
27,بین الاقوامی مسافروں کے لیے کاؤنٹر کہاں ہیں؟,قطار اے میں، امیگریشن انٹری کے قریب۔,چیک ان معلومات,روانگی,اُردو,
28,ملکی پروازوں کے لیے کون سا ہال ہے؟,روانگی ہال بی ملکی پروازوں کے لیے مخصوص ہے۔,چیک ان معلومات,روانگی,اُردو,
29,کیا میں اپنی سیٹ بدل سکتا ہوں؟,بعض ایئرلائنز چیک ان پر سیٹ چینج کی اجازت دیتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
30,میرا فلائٹ نمبر پی کے ۳۰۱ ہے، کہاں جاؤں؟,پی کے ۳۰۱ کا چیک ان کاؤنٹر قطار سی میں ہے۔,چیک ان معلومات,روانگی,اُردو,
31,کیا معذور مسافروں کے لیے ویل چئیر دستیاب ہے؟,جی ہاں، درخواست پر عملہ فراہم کرتا ہے۔,چیک ان معلومات,روانگی,اُردو,
32,کیا چیک ان کے وقت پاسپورٹ ضروری ہے؟,جی ہاں، بین الاقوامی پروازوں کے لیے لازمی ہے۔,چیک ان معلومات,روانگی,اُردو,
33,ایئرپورٹ کا عملہ کتنے بجے آتا ہے؟,زیادہ تر کاؤنٹر پرواز سے تین گھنٹے پہلے کھلتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
34,میں دیر سے پہنچا ہوں، کیا بورڈنگ ہو سکتی ہے؟,اگر کاؤنٹر بند نہ ہوا ہو تو عملہ مدد کرے گا۔,چیک ان معلومات,روانگی,اُردو,
35,کیا چیک ان کے لیے کوئی فیس ہے؟,نہیں، یہ مفت عمل ہے۔,چیک ان معلومات,روانگی,اُردو,
36,کیا میں آن لائن چیک ان کینسل کر سکتا ہوں؟,جی ہاں، ایئرلائن کی ویب سائٹ پر تبدیلی ممکن ہے۔,چیک ان معلومات,روانگی,اُردو,
37,کیا اسلام آباد ایئرپورٹ ۲۴ گھنٹے کھلا ہے؟,جی ہاں، تمام بین الاقوامی پروازوں کے لیے۔,چیک ان معلومات,روانگی,اُردو,
38,کسٹم چیک کہاں ہوتا ہے؟,سکیورٹی کے بعد روانگی زون میں۔,چیک ان معلومات,روانگی,اُردو,
39,کیا میں ہینڈ بیگ میں دو پانی کی بوتلیں لے جا سکتا ہوں؟,نہیں، صرف ۱۰۰ ملی لیٹر کی بوتلیں قابلِ اجازت ہیں۔,چیک ان معلومات,روانگی,اُردو,
40,کیا وزن تولنے کے لیے مشین دستیاب ہے؟,جی ہاں، ہر قطار کے قریب وزن اسکیل نصب ہیں۔,چیک ان معلومات,روانگی,اُردو,
41,میرا سامان کھو گیا تو کیا ہوگا؟,ایئرلائن کے بیگیج کلیم کاؤنٹر سے رپورٹ کریں۔,چیک ان معلومات,روانگی,اُردو,
42,میں نے ٹرالی کہاں سے لینی ہے؟,ہر داخلی دروازے پر ٹرالیاں دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
43,کیا میں چیک ان سے پہلے کھانا کھا سکتا ہوں؟,جی ہاں، فوڈ کورٹ داخلی حصے میں موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
44,کیا اسلام آباد ایئرپورٹ پر بزنس لاؤنج ہے؟,جی ہاں، ہال اے کے قریب۔,چیک ان معلومات,روانگی,اُردو,
45,اگر نظام بند ہو گیا تو کیا دستی چیک ان ممکن ہے؟,جی ہاں، عملہ دستی طریقے سے مدد کرے گا۔,چیک ان معلومات,روانگی,اُردو,
46,کیا میں اپنے دوست کو ساتھ لا سکتا ہوں؟,صرف مسافر روانگی زون میں داخل ہو سکتا ہے۔,چیک ان معلومات,روانگی,اُردو,
47,کیا میں ادویات بیگ میں رکھ سکتا ہوں؟,جی ہاں، لیکن ہاتھ کے بیگ میں رکھنا بہتر ہے۔,چیک ان معلومات,روانگی,اُردو,
48,چیک ان کے بعد بورڈنگ گیٹ کہاں ہے؟,گیٹ نمبر آپ کے بورڈنگ پاس پر درج ہے۔,چیک ان معلومات,روانگی,اُردو,
49,اسلام آباد سے دبئی فلائٹ کے لیے کون سا ہال ہے؟,بین الاقوامی ہال اے سے دبئی کی پروازیں روانہ ہوتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
50,کیا سامان پلاسٹک میں لپیٹنا لازمی ہے؟,نہیں، مگر حفاظت کے لیے مفید ہے۔,چیک ان معلومات,روانگی,اُردو,
51,کیا چیک ان کے بعد انٹری دوبارہ ممکن ہے؟,نہیں، ایک بار باہر نکلنے کے بعد نیا پاس درکار ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
52,کیا میرا پاور بینک بیگ میں جا سکتا ہے؟,نہیں، صرف ہینڈ کیر میں رکھیں۔,چیک ان معلومات,روانگی,اُردو,
53,کیا میں اپنی پرواز کا وقت یہاں چیک کر سکتا ہوں؟,جی ہاں، ہال کے اندر نصب فلائٹ اسکرینز پر روانگی اوقات دیکھے جا سکتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
54,کیا چیک ان کے دوران فون استعمال کر سکتا ہوں؟,جی ہاں، لیکن سکیورٹی یا اسکیننگ کے وقت موبائل استعمال نہ کریں۔,چیک ان معلومات,روانگی,اُردو,
55,کیا چیک ان سے پہلے سکیورٹی چیک ہوتا ہے؟,نہیں، سکیورٹی چیک بورڈنگ کے مرحلے پر ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
56,کیا میں ایئرپورٹ سے ویزا کاپی پر سفر کر سکتا ہوں؟,نہیں، اصل پاسپورٹ لازمی ہے۔,چیک ان معلومات,روانگی,اُردو,
57,اگر میں چیک ان مس کر دوں تو کیا ہو گا؟,آپ کی نشست منسوخ ہو سکتی ہے، فوری طور پر ایئرلائن کاؤنٹر سے رابطہ کریں۔,چیک ان معلومات,روانگی,اُردو,
58,کیا عملہ میرے ساتھ سامان اٹھانے میں مدد کرے گا؟,جی ہاں، پورٹر سروس دستیاب ہے، آپ فیس ادا کر کے مدد لے سکتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
59,کیا چیک ان کے وقت بچے کی عمر کا ثبوت درکار ہے؟,جی ہاں، پیدائش سرٹیفیکیٹ یا پاسپورٹ دکھانا ضروری ہے۔,چیک ان معلومات,روانگی,اُردو,
60,میں نے پالتو جانور لانا ہے، کیا طریقہ ہے؟,ایئرلائن کے پالتو جانوروں کے قوانین کے مطابق کیج اور ٹکٹ لازمی ہے۔,چیک ان معلومات,روانگی,اُردو,
61,کیا ہینڈ کیری میں لیپ ٹاپ لے جا سکتا ہوں؟,جی ہاں، لیپ ٹاپ ہینڈ بیگ میں لے جانے کی اجازت ہے۔,چیک ان معلومات,روانگی,اُردو,
62,اگر میرا بیگ کھل گیا ہو تو کیا شکایت کر سکتا ہوں؟,جی ہاں، ایئرلائن کے بیگیج سپروائزر سے فوراً رابطہ کریں۔,چیک ان معلومات,روانگی,اُردو,
63,کیا اسلام آباد ایئرپورٹ پر مفت وائی فائی ہے؟,جی ہاں، چیک ان ایریا میں “IIAP Free WiFi” دستیاب ہے۔,چیک ان معلومات,روانگی,اُردو,
64,کیا میں کسی اور فلائٹ کے لیے بھی یہاں چیک ان کر سکتا ہوں؟,نہیں، صرف اپنی مخصوص فلائٹ کے لیے۔,چیک ان معلومات,روانگی,اُردو,
65,کیا بزنس کلاس کے لیے الگ کاؤنٹر ہے؟,جی ہاں، عام کاؤنٹرز کے ساتھ خصوصی کاؤنٹر موجود ہیں۔,چیک ان معلومات,روانگی,اُردو,
66,میں نے گھر سے چیک ان کیا ہے، اب کیا کرنا ہے؟,ایئرپورٹ پہنچ کر صرف بیگیج ڈراپ کاؤنٹر پر سامان جمع کرائیں۔,چیک ان معلومات,روانگی,اُردو,
67,کیا عملہ انگریزی بولتا ہے؟,جی ہاں، عملہ اردو اور انگریزی دونوں میں رہنمائی فراہم کرتا ہے۔,چیک ان معلومات,روانگی,اُردو,
68,کیا میں دوست کے ساتھ لائن میں کھڑا ہو سکتا ہوں؟,صرف اگر دونوں ایک ہی فلائٹ کے مسافر ہوں۔,چیک ان معلومات,روانگی,اُردو,
69,اگر فلائٹ کا گیٹ بدل جائے تو کیسے پتا چلے گا؟,فلائٹ اسکرین پر گیٹ نمبر اپڈیٹ ہوتا ہے، اعلانات بھی کیے جاتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
70,کیا میں ڈالرز ساتھ لے جا سکتا ہوں؟,جی ہاں، اسٹیٹ بینک کی مقررہ حد کے اندر۔,چیک ان معلومات,روانگی,اُردو,
71,کیا ایئرپورٹ پر کرنسی ایکسچینج ہے؟,جی ہاں، چیک ان ہال کے قریب دو ایکسچینج ڈیسک ہیں۔,چیک ان معلومات,روانگی,اُردو,
72,کیا میں سامان میں کھانے کی چیزیں رکھ سکتا ہوں؟,جی ہاں، اگر ممنوعہ اشیاء نہ ہوں۔,چیک ان معلومات,روانگی,اُردو,
73,کیا میں دو الگ ایئرلائنز کی فلائٹ لے سکتا ہوں؟,جی ہاں، مگر ہر فلائٹ کا الگ چیک ان ہوگا۔,چیک ان معلومات,روانگی,اُردو,
74,کیا میں ہینڈ بیگ میں پاور بینک رکھ سکتا ہوں؟,جی ہاں، صرف ہینڈ بیگ میں رکھیں، چیکڈ بیگ میں نہیں۔,چیک ان معلومات,روانگی,اُردو,
75,کیا اسٹالر یا وہیل چیئر کا بندوبست چیک ان پر ہو گا؟,جی ہاں، عملہ درخواست پر فوری مدد فراہم کرتا ہے۔,چیک ان معلومات,روانگی,اُردو,
76,کیا میں کسی اور کے لیے بورڈنگ پاس لے سکتا ہوں؟,نہیں، ہر مسافر کو خود موجود ہونا ضروری ہے۔,چیک ان معلومات,روانگی,اُردو,
77,کیا چیک ان کے بعد ٹیکس ریفنڈ کا کاؤنٹر ہے؟,نہیں، اسلام آباد ایئرپورٹ پر ٹیکس ریفنڈ سہولت نہیں ہے۔,چیک ان معلومات,روانگی,اُردو,
78,کیا میں اپنا بیگ لاک کر سکتا ہوں؟,جی ہاں، اپنی حفاظت کے لیے لاک استعمال کریں۔,چیک ان معلومات,روانگی,اُردو,
79,اگر بیگیج ٹیگ گم جائے تو کیا ہو گا؟,ایئرلائن عملہ فلائٹ تفصیلات سے بیگ تلاش کر سکتا ہے۔,چیک ان معلومات,روانگی,اُردو,
80,کیا سامان کی تاخیر پر کوئی معاوضہ ہے؟,جی ہاں، ایئرلائن کے قواعد کے مطابق معاوضہ دیا جا سکتا ہے۔,چیک ان معلومات,روانگی,اُردو,
81,کیا چیک ان کے بعد میں خریداری کر سکتا ہوں؟,جی ہاں، سکیورٹی چیک کے بعد ڈیوٹی فری شاپس دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
82,کیا میں ٹرالی ایریا میں لے جا سکتا ہوں؟,نہیں، ٹرالیاں مخصوص ایریا تک محدود ہیں۔,چیک ان معلومات,روانگی,اُردو,
83,کیا میں اپنے بیگ پر اسٹیکر لگا سکتا ہوں؟,جی ہاں، شناخت کے لیے یہ مفید ہے۔,چیک ان معلومات,روانگی,اُردو,
84,کیا سامان اسکیننگ کے دوران کھولا جا سکتا ہے؟,ہاں، ضرورت پڑنے پر سکیورٹی اسٹاف کھول سکتا ہے۔,چیک ان معلومات,روانگی,اُردو,
85,کیا میں بیگ میں پرفیوم رکھ سکتا ہوں؟,صرف ۱۰۰ ملی لیٹر یا اس سے کم مقدار۔,چیک ان معلومات,روانگی,اُردو,
86,کیا میں بورڈنگ پاس میں تبدیلی کر سکتا ہوں؟,نہیں، بورڈنگ پاس جاری ہونے کے بعد تبدیلی ممکن نہیں۔,چیک ان معلومات,روانگی,اُردو,
87,کیا اسلام آباد ایئرپورٹ میں پارکنگ ہے؟,جی ہاں، چیک ان ہال کے سامنے وسیع پارکنگ موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
88,کیا میں سامان کی رسید ایئرپورٹ پر دوبارہ لے سکتا ہوں؟,جی ہاں، ایئرلائن کے کسٹمر سروس کاؤنٹر سے۔,چیک ان معلومات,روانگی,اُردو,
89,کیا بچوں کے لیے علیحدہ لائن ہے؟,جی ہاں، فیملی لائنز دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
90,کیا اسلام آباد ایئرپورٹ پر لاؤنج ہے؟,جی ہاں، پی آئی اے بزنس لاؤنج گیٹ ۵ کے قریب ہے۔,چیک ان معلومات,روانگی,اُردو,
91,کیا میں ہینڈ بیگ میں چھری رکھ سکتا ہوں؟,نہیں، یہ سکیورٹی ضابطے کی خلاف ورزی ہے۔,چیک ان معلومات,روانگی,اُردو,
92,کیا میں اپنا پاسپورٹ اسکین کروا سکتا ہوں؟,جی ہاں، کاؤنٹر پر عملہ اسکین کرے گا۔,چیک ان معلومات,روانگی,اُردو,
93,کیا سامان جمع کرانے کے بعد میں باتھ روم جا سکتا ہوں؟,جی ہاں، روانگی ہال میں واش رومز موجود ہیں۔,چیک ان معلومات,روانگی,اُردو,
94,کیا اسلام آباد ایئرپورٹ پر پانی دستیاب ہے؟,جی ہاں، پینے کا پانی ہر ہال میں موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
95,کیا میں اضافی بیگ ساتھ لے جا سکتا ہوں؟,ایئرلائن کی فیس ادا کر کے ممکن ہے۔,چیک ان معلومات,روانگی,اُردو,
96,کیا میں گیٹ پر پہنچ کر سیٹ بدل سکتا ہوں؟,نہیں، یہ صرف چیک ان پر ممکن ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
97,کیا اسلام آباد ایئرپورٹ پر پورٹر دستیاب ہیں؟,جی ہاں، داخلے کے قریب موجود ہیں۔,چیک ان معلومات,روانگی,اُردو,
98,کیا میں ہال کے اندر فوٹو لے سکتا ہوں؟,ہاں، مگر سکیورٹی یا امیگریشن ایریا میں نہیں۔,چیک ان معلومات,روانگی,اُردو,
99,کیا ایئرپورٹ پر ہیلپ ڈیسک ہے؟,جی ہاں، روانگی ہال کے مرکز میں۔,چیک ان معلومات,روانگی,اُردو,
100,کیا میں چیک ان کے دوران مسافر معلومات بدل سکتا ہوں؟,نہیں، صرف ایئرلائن دفتر سے ممکن ہے۔,چیک ان معلومات,روانگی,اُردو,
101,کیا میں اپنا بیگ وزن کم کر سکتا ہوں؟,جی ہاں، اضافی چیزیں نکال کر۔,چیک ان معلومات,روانگی,اُردو,
102,کیا ایئرپورٹ پر اے ٹی ایم ہے؟,جی ہاں، روانگی ہال کے داخلی دروازے کے قریب۔,چیک ان معلومات,روانگی,اُردو,
103,کیا میں اپنے موبائل سے بورڈنگ پاس دکھا سکتا ہوں؟,جی ہاں، اسکرین پر دکھانا کافی ہے۔,چیک ان معلومات,روانگی,اُردو,
104,کیا میں سفری دستاویزات فوٹو کاپی کر سکتا ہوں؟,جی ہاں، انفارمیشن ڈیسک کے قریب سہولت موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
105,کیا میں آن لائن چیک ان کے بعد سیٹ بدل سکتا ہوں؟,صرف اگر ایئرلائن اجازت دے۔,چیک ان معلومات,روانگی,اُردو,
106,کیا چیک ان کے بعد مجھے کہاں جانا ہے؟,سکیورٹی چیک کے لیے آگے بڑھیں اور پھر گیٹ پر جائیں۔,چیک ان معلومات,روانگی,اُردو,
107,کیا میں چیک ان کے وقت ویکسین سرٹیفکیٹ دکھانا ہے؟,بعض ممالک کے لیے لازمی ہے۔,چیک ان معلومات,روانگی,اُردو,
108,کیا میں آن لائن چیک ان بند کر سکتا ہوں؟,جی ہاں، ایئرلائن ویب سائٹ سے ممکن ہے۔,چیک ان معلومات,روانگی,اُردو,
109,کیا چیک ان کے دوران عملہ میرا بیگ کھولے گا؟,صرف سکیورٹی وجوہات کی صورت میں۔,چیک ان معلومات,روانگی,اُردو,
110,کیا میں کرنسی بیگ میں رکھ سکتا ہوں؟,بہتر ہے کہ ہاتھ کے بیگ میں رکھیں۔,چیک ان معلومات,روانگی,اُردو,
111,کیا میں ائیرپورٹ پر کسی کو رخصت کرنے جا سکتا ہوں؟,صرف ٹکٹ ہولڈر مسافروں کو اجازت ہے۔,چیک ان معلومات,روانگی,اُردو,
112,کیا اسلام آباد ایئرپورٹ پر فری چارجنگ پوائنٹ ہے؟,جی ہاں، بیٹھنے کے قریب USB پورٹس دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
113,کیا میں عملے سے سیٹ اپگریڈ کی درخواست کر سکتا ہوں؟,جی ہاں، اگر بزنس کلاس خالی ہو تو ممکن ہے۔,چیک ان معلومات,روانگی,اُردو,
114,کیا میں پرواز کا بورڈنگ ٹائم جان سکتا ہوں؟,بورڈنگ پاس پر وقت درج ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
115,کیا چیک ان کے وقت سفر انشورنس دکھانی ہے؟,نہیں، صرف ٹکٹ اور شناختی دستاویز کافی ہیں۔,چیک ان معلومات,روانگی,اُردو,
116,کیا میں پرواز کے دن بیگ پہلے بھیج سکتا ہوں؟,نہیں، بیگ صرف چیک ان کے وقت جمع ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
117,کیا میں سامان میں الیکٹرانک چیزیں رکھ سکتا ہوں؟,جی ہاں، مگر نازک اشیاء ہینڈ کیری میں رکھیں۔,چیک ان معلومات,روانگی,اُردو,
118,کیا اسلام آباد ایئرپورٹ پر مسافر سہولت اسٹاف ہے؟,جی ہاں، ہر قطار میں عملہ موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
119,کیا میں بیگیج پر اپنا نمبر لکھ سکتا ہوں؟,جی ہاں، شناخت کے لیے بہتر ہے۔,چیک ان معلومات,روانگی,اُردو,
120,کیا میں اپنی فلائٹ کی تاخیر کی اطلاع حاصل کر سکتا ہوں؟,جی ہاں، فلائٹ مانیٹر یا اعلان سے۔,چیک ان معلومات,روانگی,اُردو,
121,کیا میں دو مختلف ایئرلائنز سے سفر کر سکتا ہوں؟,جی ہاں، لیکن دونوں کا الگ چیک ان ہو گا۔,چیک ان معلومات,روانگی,اُردو,
122,کیا بیگیج ریپنگ لازمی ہے؟,نہیں، مگر حفاظت کے لیے مفید ہے۔,چیک ان معلومات,روانگی,اُردو,
123,کیا میں ایئرپورٹ پر نیا ٹکٹ خرید سکتا ہوں؟,جی ہاں، ٹکٹنگ ڈیسک پر۔,چیک ان معلومات,روانگی,اُردو,
124,کیا میں اسلام آباد سے کراچی فلائٹ کے لیے کیا وقت لوں؟,کم از کم دو گھنٹے پہلے پہنچیں۔,چیک ان معلومات,روانگی,اُردو,
125,کیا چیک ان کے بعد کوئی اعلامیہ سنایا جاتا ہے؟,جی ہاں، گیٹ اور تاخیر کی اطلاع دی جاتی ہے۔,چیک ان معلومات,روانگی,اُردو,
126,کیا میں اپنا بورڈنگ پاس کسی کو دکھا سکتا ہوں؟,ہاں، صرف سکیورٹی اہلکار کو۔,چیک ان معلومات,روانگی,اُردو,
127,کیا اسلام آباد ایئرپورٹ پر ماسک لازمی ہے؟,موجودہ ہدایات کے مطابق۔,چیک ان معلومات,روانگی,اُردو,
128,کیا میں ایئرپورٹ عملے سے بیگ لفافہ مانگ سکتا ہوں؟,جی ہاں، چیک ان کاؤنٹر پر دستیاب ہے۔,چیک ان معلومات,روانگی,اُردو,
129,کیا میں ادائیگی کارڈ سے کر سکتا ہوں؟,جی ہاں، زیادہ تر ایئرلائنز کارڈ قبول کرتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
130,کیا میں اپنا بورڈنگ پاس ای میل سے حاصل کر سکتا ہوں؟,جی ہاں، ایئرلائن ویب سائٹ سے۔,چیک ان معلومات,روانگی,اُردو,
131,کیا اسلام آباد ایئرپورٹ پر شکایات کا کاؤنٹر ہے؟,جی ہاں، انفارمیشن ڈیسک کے ساتھ۔,چیک ان معلومات,روانگی,اُردو,
132,کیا میں اپنا بورڈنگ پاس دوبارہ پرنٹ کر سکتا ہوں؟,جی ہاں، ایئرلائن کاؤنٹر سے۔,چیک ان معلومات,روانگی,اُردو,
133,کیا میں دو الگ پروازوں کے لیے ایک ہی دن چیک ان کر سکتا ہوں؟,نہیں، ہر پرواز کا علیحدہ چیک ان ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
134,کیا میں نادرا کارڈ سے چیک ان کر سکتا ہوں؟,جی ہاں، ملکی پروازوں کے لیے۔,چیک ان معلومات,روانگی,اُردو,
135,کیا میں پرواز سے پہلے کاؤنٹر پر کھانا خرید سکتا ہوں؟,جی ہاں، کیفے اور ریسٹورنٹس دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
136,کیا چیک ان کے دوران میوزک سن سکتا ہوں؟,جی ہاں، اگر ہیڈ فون استعمال کر رہے ہوں۔,چیک ان معلومات,روانگی,اُردو,
137,کیا میں اپنا بورڈنگ پاس موبائل سے اسکین کرا سکتا ہوں؟,جی ہاں، بار کوڈ اسکین ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
138,کیا چیک ان کے دوران عملہ تصویری شناخت لیتا ہے؟,صرف ضرورت کی صورت میں۔,چیک ان معلومات,روانگی,اُردو,
139,کیا اسلام آباد ایئرپورٹ پر نماز کے لیے جگہ ہے؟,جی ہاں، ہال کے قریب مسجد موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
140,کیا میں اپنا بورڈنگ پاس کسی اور کو بھیج سکتا ہوں؟,نہیں، یہ ذاتی دستاویز ہے۔,چیک ان معلومات,روانگی,اُردو,
141,کیا چیک ان کے دوران سفری ٹیکس ادا کرنا ہوتا ہے؟,نہیں، وہ ٹکٹ میں شامل ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
142,کیا میں بورڈنگ کے وقت بیگ واپس لے سکتا ہوں؟,نہیں، چیک ان کے بعد بیگ کارگو میں جاتا ہے۔,چیک ان معلومات,روانگی,اُردو,
143,کیا ایئرپورٹ پر دواؤں کا اسٹور ہے؟,جی ہاں، ہال اے کے قریب میڈیکل شاپ ہے۔,چیک ان معلومات,روانگی,اُردو,
144,کیا میں ایئرپورٹ پر چارجنگ کیبل خرید سکتا ہوں؟,جی ہاں، کنوینینس شاپس میں دستیاب ہے۔,چیک ان معلومات,روانگی,اُردو,
145,کیا میں اپنا موبائل چارج کرتے وقت کاؤنٹر کے قریب بیٹھ سکتا ہوں؟,جی ہاں، چیک ان ہال میں چارجنگ پوائنٹس کے ساتھ نشستیں دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
