id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response,language
21,فلائٹ EK495 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),EK495,کراچی,14:39,لینڈ ہو گئی,فلائٹ EK495 کراچی سے متوقع طور پر 14:39 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
22,فلائٹ BA732 لندن سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),BA732,لندن,09:34,لینڈ ہو گئی,فلائٹ BA732 لندن سے متوقع طور پر 09:34 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
23,فلائٹ TK157 دوحہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),TK157,دوحہ,13:03,لینڈ ہو گئی,فلائٹ TK157 دوحہ سے متوقع طور پر 13:03 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
24,فلائٹ BA172 کی آمد کا وقت کیا ہے؟,flight_information,اسلام آباد (ISB),BA172,ابو ظہبی,01:08,وقت پر,فلائٹ BA172 ابو ظہبی سے متوقع طور پر 01:08 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
25,فلائٹ PK466 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),PK466,دبئی,21:09,لینڈ ہو گئی,فلائٹ PK466 دبئی سے متوقع طور پر 21:09 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
26,فلائٹ PK332 دبئی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),PK332,دبئی,05:38,لینڈ ہو گئی,فلائٹ PK332 دبئی سے متوقع طور پر 05:38 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
27,فلائٹ PK962 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),PK962,جدہ,09:49,وقت پر,فلائٹ PK962 جدہ سے متوقع طور پر 09:49 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
28,فلائٹ EK398 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),EK398,لندن,08:10,لینڈ ہو گئی,فلائٹ EK398 لندن سے متوقع طور پر 08:10 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
29,فلائٹ SV823 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),SV823,ابو ظہبی,07:36,تاخیر,فلائٹ SV823 ابو ظہبی سے متوقع طور پر 07:36 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
30,فلائٹ SV453 جدہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),SV453,جدہ,07:18,لینڈ ہو گئی,فلائٹ SV453 جدہ سے متوقع طور پر 07:18 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
31,فلائٹ EY626 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),EY626,لندن,04:00,تاخیر,فلائٹ EY626 لندن سے متوقع طور پر 04:00 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
32,فلائٹ SV688 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),SV688,شارجہ,18:20,وقت پر,فلائٹ SV688 شارجہ سے متوقع طور پر 18:20 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
33,فلائٹ EY855 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),EY855,ریاض,19:09,تاخیر,فلائٹ EY855 ریاض سے متوقع طور پر 19:09 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
34,فلائٹ PK611 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),PK611,استنبول,18:36,وقت پر,فلائٹ PK611 استنبول سے متوقع طور پر 18:36 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
35,کیا فلائٹ TK863 جدہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),TK863,جدہ,05:34,تاخیر,فلائٹ TK863 جدہ سے متوقع طور پر 05:34 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
36,فلائٹ EY878 کی آمد کا وقت کیا ہے؟,flight_information,اسلام آباد (ISB),EY878,دبئی,20:44,تاخیر,فلائٹ EY878 دبئی سے متوقع طور پر 20:44 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
37,کیا فلائٹ QR193 ابو ظہبی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),QR193,ابو ظہبی,07:30,لینڈ ہو گئی,فلائٹ QR193 ابو ظہبی سے متوقع طور پر 07:30 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
38,فلائٹ TK172 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),TK172,ریاض,02:31,وقت پر,فلائٹ TK172 ریاض سے متوقع طور پر 02:31 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
39,فلائٹ EY961 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),EY961,ابو ظہبی,11:13,لینڈ ہو گئی,فلائٹ EY961 ابو ظہبی سے متوقع طور پر 11:13 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
40,فلائٹ TK273 شارجہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),TK273,شارجہ,01:29,لینڈ ہو گئی,فلائٹ TK273 شارجہ سے متوقع طور پر 01:29 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
41,فلائٹ EY451 ابو ظہبی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),EY451,ابو ظہبی,05:06,وقت پر,فلائٹ EY451 ابو ظہبی سے متوقع طور پر 05:06 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
42,کیا فلائٹ PK992 استنبول سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),PK992,استنبول,20:43,لینڈ ہو گئی,فلائٹ PK992 استنبول سے متوقع طور پر 20:43 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
43,فلائٹ PK901 کی آمد کا وقت کیا ہے؟,flight_information,اسلام آباد (ISB),PK901,ابو ظہبی,08:41,وقت پر,فلائٹ PK901 ابو ظہبی سے متوقع طور پر 08:41 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
44,فلائٹ EY516 دبئی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),EY516,دبئی,06:15,تاخیر,فلائٹ EY516 دبئی سے متوقع طور پر 06:15 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
45,فلائٹ EY780 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),EY780,جدہ,23:48,تاخیر,فلائٹ EY780 جدہ سے متوقع طور پر 23:48 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
46,فلائٹ EY669 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),EY669,جدہ,19:24,تاخیر,فلائٹ EY669 جدہ سے متوقع طور پر 19:24 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
47,فلائٹ EY690 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),EY690,جدہ,03:19,تاخیر,فلائٹ EY690 جدہ سے متوقع طور پر 03:19 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
48,کیا فلائٹ BA129 شارجہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),BA129,شارجہ,23:16,لینڈ ہو گئی,فلائٹ BA129 شارجہ سے متوقع طور پر 23:16 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
49,کیا فلائٹ TK115 جدہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),TK115,جدہ,18:53,تاخیر,فلائٹ TK115 جدہ سے متوقع طور پر 18:53 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
50,فلائٹ EK491 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),EK491,ابو ظہبی,04:35,تاخیر,فلائٹ EK491 ابو ظہبی سے متوقع طور پر 04:35 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
