id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response,language
27,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
28,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
29,Where do I go after landing?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
30,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
31,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
32,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
33,Where do I go after landing?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
34,Where do I go after landing?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
35,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
36,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
37,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
38,Where do I go after landing?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
39,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
40,Where do I go after landing?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
41,Where do I go after landing?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
42,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
43,Where do I go after landing?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
44,Where do I go after landing?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
45,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
46,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
47,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
48,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
49,Where do I go after landing?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
50,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
