Query,Language,Intent,Terminal,Response
Where can I find the arrival baggage service?,English,Facilities,Arrival,The arrival baggage service is located in the Arrival terminal near Gate 5. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the airport pharmacy?,English,Facilities,Arrival,The airport pharmacy is located in the Arrival terminal near Gate 4. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the lost and found help?,English,Facilities,Arrival,The lost and found help is located in the Arrival terminal near Gate 4. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the customer care desk?,English,Facilities,Arrival,The customer care desk is located in the Arrival terminal near Gate 9. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the travel insurance counter?,English,Facilities,Arrival,The travel insurance counter is located in the Arrival terminal near Gate 5. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the airport guidance desk?,English,Facilities,Arrival,The airport guidance desk is located in the Arrival terminal near Gate 4. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the arrival map display?,English,Facilities,Arrival,The arrival map display is located in the Arrival terminal near Gate 8. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the airport metro link?,English,Facilities,Arrival,The airport metro link is located in the Arrival terminal near Gate 1. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the tour guide office?,English,Facilities,Arrival,The tour guide office is located in the Arrival terminal near Gate 2. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the arrival taxi bay?,English,Facilities,Arrival,The arrival taxi bay is located in the Arrival terminal near Gate 2. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the cleaning and sanitation area?,English,Facilities,Arrival,The cleaning and sanitation area is located in the Arrival terminal near Gate 1. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
