id,category,user_query,intent,airport,flight_number,origin_city,response,language
20,departure_time,Departure time ka sawaal flight HM172 ke liye?,flight_information,Islamabad International Airport (ISB),HM172,Doha,Flight HM172 scheduled to depart at 15:30. Please arrive early for check-in and security.,Roman Urdu
21,status,Status ka sawaal flight BA492 ke liye?,flight_information,Islamabad International Airport (ISB),BA492,Lahore,Status of flight BA492: Landed. See display screens or airline for latest details.,Roman Urdu
22,status,Status ka sawaal flight TK384 ke liye?,flight_information,Islamabad International Airport (ISB),TK384,Lahore,Status of flight TK384: Delayed. See display screens or airline for latest details.,Roman Urdu
23,status,Status ka sawaal flight UL401 ke liye?,flight_information,Islamabad International Airport (ISB),UL401,Lahore,Status of flight UL401: On-time. See display screens or airline for latest details.,Roman Urdu
24,status,Status ka sawaal flight SV781 ke liye?,flight_information,Islamabad International Airport (ISB),SV781,London,Status of flight SV781: On-time. See display screens or airline for latest details.,Roman Urdu
25,status,Status ka sawaal flight QR130 ke liye?,flight_information,Islamabad International Airport (ISB),QR130,Dubai,Status of flight QR130: Delayed. See display screens or airline for latest details.,Roman Urdu
26,status,Status ka sawaal flight GF470 ke liye?,flight_information,Islamabad International Airport (ISB),GF470,Jeddah,Status of flight GF470: Cancelled. See display screens or airline for latest details.,Roman Urdu
27,status,Status ka sawaal flight BA644 ke liye?,flight_information,Islamabad International Airport (ISB),BA644,Lahore,Status of flight BA644: On-time. See display screens or airline for latest details.,Roman Urdu
28,status,Status ka sawaal flight EK603 ke liye?,flight_information,Islamabad International Airport (ISB),EK603,Doha,Status of flight EK603: Delayed. See display screens or airline for latest details.,Roman Urdu
29,status,Status ka sawaal flight BA370 ke liye?,flight_information,Islamabad International Airport (ISB),BA370,Jeddah,Status of flight BA370: On-time. See display screens or airline for latest details.,Roman Urdu
30,gate,Gate ka sawaal flight SV382 ke liye?,flight_information,Islamabad International Airport (ISB),SV382,London,Flight SV382 expected at Gate B16. Follow signage and announcements for any changes.,Roman Urdu
31,gate,Gate ka sawaal flight BA933 ke liye?,flight_information,Islamabad International Airport (ISB),BA933,Karachi,Flight BA933 expected at Gate B7. Follow signage and announcements for any changes.,Roman Urdu
32,gate,Gate ka sawaal flight HM828 ke liye?,flight_information,Islamabad International Airport (ISB),HM828,Dubai,Flight HM828 expected at Gate B13. Follow signage and announcements for any changes.,Roman Urdu
33,gate,Gate ka sawaal flight UL134 ke liye?,flight_information,Islamabad International Airport (ISB),UL134,Abu Dhabi,Flight UL134 expected at Gate B12. Follow signage and announcements for any changes.,Roman Urdu
34,gate,Gate ka sawaal flight HM844 ke liye?,flight_information,Islamabad International Airport (ISB),HM844,Sharjah,Flight HM844 expected at Gate B2. Follow signage and announcements for any changes.,Roman Urdu
35,gate,Gate ka sawaal flight EY408 ke liye?,flight_information,Islamabad International Airport (ISB),EY408,Jeddah,Flight EY408 expected at Gate A8. Follow signage and announcements for any changes.,Roman Urdu
36,gate,Gate ka sawaal flight EK759 ke liye?,flight_information,Islamabad International Airport (ISB),EK759,Lahore,Flight EK759 expected at Gate C16. Follow signage and announcements for any changes.,Roman Urdu
37,gate,Gate ka sawaal flight HM284 ke liye?,flight_information,Islamabad International Airport (ISB),HM284,Dubai,Flight HM284 expected at Gate B3. Follow signage and announcements for any changes.,Roman Urdu
38,gate,Gate ka sawaal flight BA666 ke liye?,flight_information,Islamabad International Airport (ISB),BA666,Abu Dhabi,Flight BA666 expected at Gate C13. Follow signage and announcements for any changes.,Roman Urdu
39,terminal,Terminal ka sawaal flight PK316 ke liye?,flight_information,Islamabad International Airport (ISB),PK316,Jeddah,Arrivals for flight PK316 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
40,terminal,Terminal ka sawaal flight QR871 ke liye?,flight_information,Islamabad International Airport (ISB),QR871,London,Arrivals for flight QR871 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
41,terminal,Terminal ka sawaal flight PK404 ke liye?,flight_information,Islamabad International Airport (ISB),PK404,Abu Dhabi,Arrivals for flight PK404 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
42,terminal,Terminal ka sawaal flight UL746 ke liye?,flight_information,Islamabad International Airport (ISB),UL746,Abu Dhabi,Arrivals for flight UL746 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
43,terminal,Terminal ka sawaal flight EY796 ke liye?,flight_information,Islamabad International Airport (ISB),EY796,London,Arrivals for flight EY796 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
44,terminal,Terminal ka sawaal flight PK841 ke liye?,flight_information,Islamabad International Airport (ISB),PK841,Dubai,Arrivals for flight PK841 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
45,terminal,Terminal ka sawaal flight UL444 ke liye?,flight_information,Islamabad International Airport (ISB),UL444,Karachi,Arrivals for flight UL444 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
46,terminal,Terminal ka sawaal flight QR638 ke liye?,flight_information,Islamabad International Airport (ISB),QR638,London,Arrivals for flight QR638 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
47,terminal,Terminal ka sawaal flight GF596 ke liye?,flight_information,Islamabad International Airport (ISB),GF596,Sharjah,Arrivals for flight GF596 use Terminal 1 at Islamabad International Airport (ISB). Follow signs to immigration and baggage claim.,Roman Urdu
48,checkin,Checkin ka sawaal flight QR963 ke liye?,flight_information,Islamabad International Airport (ISB),QR963,Doha,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
49,checkin,Checkin ka sawaal flight SV154 ke liye?,flight_information,Islamabad International Airport (ISB),SV154,Dubai,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
50,checkin,Checkin ka sawaal flight EY255 ke liye?,flight_information,Islamabad International Airport (ISB),EY255,Jeddah,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
51,checkin,Checkin ka sawaal flight TK295 ke liye?,flight_information,Islamabad International Airport (ISB),TK295,Jeddah,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
52,checkin,Checkin ka sawaal flight HM782 ke liye?,flight_information,Islamabad International Airport (ISB),HM782,Riyadh,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
53,checkin,Checkin ka sawaal flight EY224 ke liye?,flight_information,Islamabad International Airport (ISB),EY224,Jeddah,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
54,checkin,Checkin ka sawaal flight UL251 ke liye?,flight_information,Islamabad International Airport (ISB),UL251,Lahore,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
55,checkin,Checkin ka sawaal flight QR159 ke liye?,flight_information,Islamabad International Airport (ISB),QR159,London,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
56,checkin,Checkin ka sawaal flight UL132 ke liye?,flight_information,Islamabad International Airport (ISB),UL132,Dubai,Check-in opens three hours before departure; online check-in may be available earlier.,Roman Urdu
57,baggage_allowance,Baggage allowance ka sawaal flight GF682 ke liye?,flight_information,Islamabad International Airport (ISB),GF682,London,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
58,baggage_allowance,Baggage allowance ka sawaal flight SV282 ke liye?,flight_information,Islamabad International Airport (ISB),SV282,Karachi,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
59,baggage_allowance,Baggage allowance ka sawaal flight QR228 ke liye?,flight_information,Islamabad International Airport (ISB),QR228,Dubai,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
60,baggage_allowance,Baggage allowance ka sawaal flight GF559 ke liye?,flight_information,Islamabad International Airport (ISB),GF559,Dubai,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
61,baggage_allowance,Baggage allowance ka sawaal flight GF479 ke liye?,flight_information,Islamabad International Airport (ISB),GF479,London,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
62,baggage_allowance,Baggage allowance ka sawaal flight HM757 ke liye?,flight_information,Islamabad International Airport (ISB),HM757,Istanbul,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
63,baggage_allowance,Baggage allowance ka sawaal flight SV935 ke liye?,flight_information,Islamabad International Airport (ISB),SV935,Lahore,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
64,baggage_allowance,Baggage allowance ka sawaal flight QR198 ke liye?,flight_information,Islamabad International Airport (ISB),QR198,Doha,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
65,baggage_allowance,Baggage allowance ka sawaal flight EY313 ke liye?,flight_information,Islamabad International Airport (ISB),EY313,Sharjah,Baggage allowance varies by fare; check with your airline to avoid excess baggage fees.,Roman Urdu
66,aircraft_type,Aircraft type ka sawaal flight PK860 ke liye?,flight_information,Islamabad International Airport (ISB),PK860,Karachi,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
67,aircraft_type,Aircraft type ka sawaal flight GF360 ke liye?,flight_information,Islamabad International Airport (ISB),GF360,Lahore,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
68,aircraft_type,Aircraft type ka sawaal flight QR972 ke liye?,flight_information,Islamabad International Airport (ISB),QR972,Istanbul,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
69,aircraft_type,Aircraft type ka sawaal flight BA493 ke liye?,flight_information,Islamabad International Airport (ISB),BA493,Jeddah,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
70,aircraft_type,Aircraft type ka sawaal flight PK700 ke liye?,flight_information,Islamabad International Airport (ISB),PK700,Karachi,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
71,aircraft_type,Aircraft type ka sawaal flight BA603 ke liye?,flight_information,Islamabad International Airport (ISB),BA603,Istanbul,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
72,aircraft_type,Aircraft type ka sawaal flight HM912 ke liye?,flight_information,Islamabad International Airport (ISB),HM912,Riyadh,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
73,aircraft_type,Aircraft type ka sawaal flight UL416 ke liye?,flight_information,Islamabad International Airport (ISB),UL416,Lahore,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
74,aircraft_type,Aircraft type ka sawaal flight SV102 ke liye?,flight_information,Islamabad International Airport (ISB),SV102,Doha,This flight typically uses a narrow-body aircraft; contact the airline for exact equipment.,Roman Urdu
75,delay_reason,Delay reason ka sawaal flight TK577 ke liye?,flight_information,Islamabad International Airport (ISB),TK577,Karachi,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
76,delay_reason,Delay reason ka sawaal flight TK111 ke liye?,flight_information,Islamabad International Airport (ISB),TK111,Lahore,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
77,delay_reason,Delay reason ka sawaal flight TK391 ke liye?,flight_information,Islamabad International Airport (ISB),TK391,Abu Dhabi,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
78,delay_reason,Delay reason ka sawaal flight GF789 ke liye?,flight_information,Islamabad International Airport (ISB),GF789,Doha,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
79,delay_reason,Delay reason ka sawaal flight BA328 ke liye?,flight_information,Islamabad International Airport (ISB),BA328,Karachi,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
80,delay_reason,Delay reason ka sawaal flight HM104 ke liye?,flight_information,Islamabad International Airport (ISB),HM104,Jeddah,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
81,delay_reason,Delay reason ka sawaal flight EY291 ke liye?,flight_information,Islamabad International Airport (ISB),EY291,Riyadh,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
82,delay_reason,Delay reason ka sawaal flight GF521 ke liye?,flight_information,Islamabad International Airport (ISB),GF521,Riyadh,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
83,delay_reason,Delay reason ka sawaal flight QR689 ke liye?,flight_information,Islamabad International Airport (ISB),QR689,Jeddah,"Delays can be caused by weather, technical checks, or air traffic; airline will update passengers.",Roman Urdu
84,estimated_arrival,Estimated arrival ka sawaal flight TK959 ke liye?,flight_information,Islamabad International Airport (ISB),TK959,Doha,Estimated arrival is 14:25. Check arrival boards for latest time.,Roman Urdu
85,estimated_arrival,Estimated arrival ka sawaal flight SV918 ke liye?,flight_information,Islamabad International Airport (ISB),SV918,Karachi,Estimated arrival is 14:51. Check arrival boards for latest time.,Roman Urdu
86,estimated_arrival,Estimated arrival ka sawaal flight QR877 ke liye?,flight_information,Islamabad International Airport (ISB),QR877,Lahore,Estimated arrival is 10:35. Check arrival boards for latest time.,Roman Urdu
87,estimated_arrival,Estimated arrival ka sawaal flight TK409 ke liye?,flight_information,Islamabad International Airport (ISB),TK409,Karachi,Estimated arrival is 10:08. Check arrival boards for latest time.,Roman Urdu
88,estimated_arrival,Estimated arrival ka sawaal flight EK460 ke liye?,flight_information,Islamabad International Airport (ISB),EK460,London,Estimated arrival is 01:25. Check arrival boards for latest time.,Roman Urdu
89,estimated_arrival,Estimated arrival ka sawaal flight UL351 ke liye?,flight_information,Islamabad International Airport (ISB),UL351,Karachi,Estimated arrival is 00:42. Check arrival boards for latest time.,Roman Urdu
90,estimated_arrival,Estimated arrival ka sawaal flight BA822 ke liye?,flight_information,Islamabad International Airport (ISB),BA822,Jeddah,Estimated arrival is 05:57. Check arrival boards for latest time.,Roman Urdu
91,estimated_arrival,Estimated arrival ka sawaal flight EK846 ke liye?,flight_information,Islamabad International Airport (ISB),EK846,Abu Dhabi,Estimated arrival is 06:35. Check arrival boards for latest time.,Roman Urdu
92,estimated_arrival,Estimated arrival ka sawaal flight EK317 ke liye?,flight_information,Islamabad International Airport (ISB),EK317,Karachi,Estimated arrival is 11:25. Check arrival boards for latest time.,Roman Urdu
93,cancellation,Cancellation ka sawaal flight EK735 ke liye?,flight_information,Islamabad International Airport (ISB),EK735,Lahore,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
94,cancellation,Cancellation ka sawaal flight BA594 ke liye?,flight_information,Islamabad International Airport (ISB),BA594,Sharjah,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
95,cancellation,Cancellation ka sawaal flight UL923 ke liye?,flight_information,Islamabad International Airport (ISB),UL923,Lahore,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
96,cancellation,Cancellation ka sawaal flight TK328 ke liye?,flight_information,Islamabad International Airport (ISB),TK328,Karachi,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
97,cancellation,Cancellation ka sawaal flight PK775 ke liye?,flight_information,Islamabad International Airport (ISB),PK775,London,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
98,cancellation,Cancellation ka sawaal flight EY663 ke liye?,flight_information,Islamabad International Airport (ISB),EY663,London,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
99,cancellation,Cancellation ka sawaal flight GF893 ke liye?,flight_information,Islamabad International Airport (ISB),GF893,Jeddah,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
100,cancellation,Cancellation ka sawaal flight GF519 ke liye?,flight_information,Islamabad International Airport (ISB),GF519,Jeddah,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
101,cancellation,Cancellation ka sawaal flight SV322 ke liye?,flight_information,Islamabad International Airport (ISB),SV322,Sharjah,Check airline notifications or airport displays to confirm cancellation status and rebooking options.,Roman Urdu
102,boarding_time,Boarding time ka sawaal flight PK312 ke liye?,flight_information,Islamabad International Airport (ISB),PK312,London,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
103,boarding_time,Boarding time ka sawaal flight TK418 ke liye?,flight_information,Islamabad International Airport (ISB),TK418,Jeddah,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
104,boarding_time,Boarding time ka sawaal flight TK276 ke liye?,flight_information,Islamabad International Airport (ISB),TK276,Lahore,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
105,boarding_time,Boarding time ka sawaal flight PK174 ke liye?,flight_information,Islamabad International Airport (ISB),PK174,Istanbul,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
106,boarding_time,Boarding time ka sawaal flight QR127 ke liye?,flight_information,Islamabad International Airport (ISB),QR127,Dubai,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
107,boarding_time,Boarding time ka sawaal flight UL134 ke liye?,flight_information,Islamabad International Airport (ISB),UL134,Dubai,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
108,boarding_time,Boarding time ka sawaal flight PK350 ke liye?,flight_information,Islamabad International Airport (ISB),PK350,Sharjah,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
109,boarding_time,Boarding time ka sawaal flight UL200 ke liye?,flight_information,Islamabad International Airport (ISB),UL200,Abu Dhabi,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
110,boarding_time,Boarding time ka sawaal flight EK289 ke liye?,flight_information,Islamabad International Airport (ISB),EK289,Sharjah,Boarding usually begins 45 minutes before departure; be at the gate on time.,Roman Urdu
111,boarding_gate,Boarding gate ka sawaal flight SV957 ke liye?,flight_information,Islamabad International Airport (ISB),SV957,Lahore,Boarding at Gate C14. Watch for announcements.,Roman Urdu
112,boarding_gate,Boarding gate ka sawaal flight HM969 ke liye?,flight_information,Islamabad International Airport (ISB),HM969,Karachi,Boarding at Gate C2. Watch for announcements.,Roman Urdu
113,boarding_gate,Boarding gate ka sawaal flight BA685 ke liye?,flight_information,Islamabad International Airport (ISB),BA685,Riyadh,Boarding at Gate C12. Watch for announcements.,Roman Urdu
114,boarding_gate,Boarding gate ka sawaal flight EY927 ke liye?,flight_information,Islamabad International Airport (ISB),EY927,Dubai,Boarding at Gate A18. Watch for announcements.,Roman Urdu
115,boarding_gate,Boarding gate ka sawaal flight EK205 ke liye?,flight_information,Islamabad International Airport (ISB),EK205,Sharjah,Boarding at Gate C3. Watch for announcements.,Roman Urdu
116,boarding_gate,Boarding gate ka sawaal flight BA880 ke liye?,flight_information,Islamabad International Airport (ISB),BA880,London,Boarding at Gate C7. Watch for announcements.,Roman Urdu
117,boarding_gate,Boarding gate ka sawaal flight UL763 ke liye?,flight_information,Islamabad International Airport (ISB),UL763,Jeddah,Boarding at Gate A4. Watch for announcements.,Roman Urdu
118,boarding_gate,Boarding gate ka sawaal flight HM607 ke liye?,flight_information,Islamabad International Airport (ISB),HM607,Abu Dhabi,Boarding at Gate B17. Watch for announcements.,Roman Urdu
119,boarding_gate,Boarding gate ka sawaal flight EY820 ke liye?,flight_information,Islamabad International Airport (ISB),EY820,Doha,Boarding at Gate B17. Watch for announcements.,Roman Urdu
120,airport_directions,Airport directions ka sawaal flight HM624 ke liye?,flight_information,Islamabad International Airport (ISB),HM624,London,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
121,airport_directions,Airport directions ka sawaal flight UL436 ke liye?,flight_information,Islamabad International Airport (ISB),UL436,London,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
122,airport_directions,Airport directions ka sawaal flight EK924 ke liye?,flight_information,Islamabad International Airport (ISB),EK924,Riyadh,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
123,airport_directions,Airport directions ka sawaal flight QR283 ke liye?,flight_information,Islamabad International Airport (ISB),QR283,London,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
124,airport_directions,Airport directions ka sawaal flight UL145 ke liye?,flight_information,Islamabad International Airport (ISB),UL145,Karachi,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
125,airport_directions,Airport directions ka sawaal flight GF348 ke liye?,flight_information,Islamabad International Airport (ISB),GF348,Karachi,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
126,airport_directions,Airport directions ka sawaal flight UL346 ke liye?,flight_information,Islamabad International Airport (ISB),UL346,Dubai,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
127,airport_directions,Airport directions ka sawaal flight EY550 ke liye?,flight_information,Islamabad International Airport (ISB),EY550,Abu Dhabi,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
128,airport_directions,Airport directions ka sawaal flight GF699 ke liye?,flight_information,Islamabad International Airport (ISB),GF699,Dubai,Take Kashmir Highway to reach the airport; allow extra time for traffic.,Roman Urdu
129,transport_to_airport,Transport to airport ka sawaal flight SV810 ke liye?,flight_information,Islamabad International Airport (ISB),SV810,Istanbul,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
130,transport_to_airport,Transport to airport ka sawaal flight PK988 ke liye?,flight_information,Islamabad International Airport (ISB),PK988,Sharjah,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
131,transport_to_airport,Transport to airport ka sawaal flight BA967 ke liye?,flight_information,Islamabad International Airport (ISB),BA967,Jeddah,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
132,transport_to_airport,Transport to airport ka sawaal flight BA443 ke liye?,flight_information,Islamabad International Airport (ISB),BA443,London,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
133,transport_to_airport,Transport to airport ka sawaal flight EY720 ke liye?,flight_information,Islamabad International Airport (ISB),EY720,London,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
134,transport_to_airport,Transport to airport ka sawaal flight PK750 ke liye?,flight_information,Islamabad International Airport (ISB),PK750,Riyadh,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
135,transport_to_airport,Transport to airport ka sawaal flight EK604 ke liye?,flight_information,Islamabad International Airport (ISB),EK604,Istanbul,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
136,transport_to_airport,Transport to airport ka sawaal flight TK447 ke liye?,flight_information,Islamabad International Airport (ISB),TK447,Istanbul,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
137,transport_to_airport,Transport to airport ka sawaal flight UL401 ke liye?,flight_information,Islamabad International Airport (ISB),UL401,London,"Use shuttle buses, city buses, or authorized taxis to reach the airport.",Roman Urdu
138,parking,Parking ka sawaal flight PK192 ke liye?,flight_information,Islamabad International Airport (ISB),PK192,Lahore,Short and long term parking areas available; follow parking signs.,Roman Urdu
139,parking,Parking ka sawaal flight PK185 ke liye?,flight_information,Islamabad International Airport (ISB),PK185,London,Short and long term parking areas available; follow parking signs.,Roman Urdu
140,parking,Parking ka sawaal flight PK579 ke liye?,flight_information,Islamabad International Airport (ISB),PK579,Sharjah,Short and long term parking areas available; follow parking signs.,Roman Urdu
141,parking,Parking ka sawaal flight QR178 ke liye?,flight_information,Islamabad International Airport (ISB),QR178,Sharjah,Short and long term parking areas available; follow parking signs.,Roman Urdu
142,parking,Parking ka sawaal flight PK956 ke liye?,flight_information,Islamabad International Airport (ISB),PK956,Riyadh,Short and long term parking areas available; follow parking signs.,Roman Urdu
