Query,Language,Intent,Terminal,Response
free Wi-Fi zone kahan hai?,Roman Urdu,Facilities,Arrival,free Wi-Fi zone Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
charging point kahan hai?,Roman Urdu,Facilities,Arrival,charging point Arrival terminal mein Gate 1 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
baggage wrapping area kahan hai?,Roman Urdu,Facilities,Arrival,baggage wrapping area Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival hall restroom kahan hai?,Roman Urdu,Facilities,Arrival,arrival hall restroom Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
prayer area kahan hai?,Roman Urdu,Facilities,Arrival,prayer area Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
airport information booth kahan hai?,Roman Urdu,Facilities,Arrival,airport information booth Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
taxi booking counter kahan hai?,Roman Urdu,Facilities,Arrival,taxi booking counter Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
ride sharing pickup zone kahan hai?,Roman Urdu,Facilities,Arrival,ride sharing pickup zone Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
bus terminal kahan hai?,Roman Urdu,Facilities,Arrival,bus terminal Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
metro station exit kahan hai?,Roman Urdu,Facilities,Arrival,metro station exit Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
public phone booth kahan hai?,Roman Urdu,Facilities,Arrival,public phone booth Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
emergency medical aid kahan hai?,Roman Urdu,Facilities,Arrival,emergency medical aid Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
complaint counter kahan hai?,Roman Urdu,Facilities,Arrival,complaint counter Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
feedback kiosk kahan hai?,Roman Urdu,Facilities,Arrival,feedback kiosk Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival help desk kahan hai?,Roman Urdu,Facilities,Arrival,arrival help desk Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
bank branch kahan hai?,Roman Urdu,Facilities,Arrival,bank branch Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
drinking water dispenser kahan hai?,Roman Urdu,Facilities,Arrival,drinking water dispenser Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
disabled assistance desk kahan hai?,Roman Urdu,Facilities,Arrival,disabled assistance desk Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
wheelchair pickup point kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair pickup point Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
VIP arrival gate kahan hai?,Roman Urdu,Facilities,Arrival,VIP arrival gate Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
special assistance counter kahan hai?,Roman Urdu,Facilities,Arrival,special assistance counter Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
foreign exchange desk kahan hai?,Roman Urdu,Facilities,Arrival,foreign exchange desk Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
airline ticket counter kahan hai?,Roman Urdu,Facilities,Arrival,airline ticket counter Arrival terminal mein Gate 1 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival gate security kahan hai?,Roman Urdu,Facilities,Arrival,arrival gate security Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
parking ticket booth kahan hai?,Roman Urdu,Facilities,Arrival,parking ticket booth Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival luggage carts kahan hai?,Roman Urdu,Facilities,Arrival,arrival luggage carts Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
baby feeding area kahan hai?,Roman Urdu,Facilities,Arrival,baby feeding area Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival baggage service kahan hai?,Roman Urdu,Facilities,Arrival,arrival baggage service Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
airport pharmacy kahan hai?,Roman Urdu,Facilities,Arrival,airport pharmacy Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
lost and found help kahan hai?,Roman Urdu,Facilities,Arrival,lost and found help Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
customer care desk kahan hai?,Roman Urdu,Facilities,Arrival,customer care desk Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
travel insurance counter kahan hai?,Roman Urdu,Facilities,Arrival,travel insurance counter Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
airport guidance desk kahan hai?,Roman Urdu,Facilities,Arrival,airport guidance desk Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival map display kahan hai?,Roman Urdu,Facilities,Arrival,arrival map display Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
airport metro link kahan hai?,Roman Urdu,Facilities,Arrival,airport metro link Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
tour guide office kahan hai?,Roman Urdu,Facilities,Arrival,tour guide office Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival taxi bay kahan hai?,Roman Urdu,Facilities,Arrival,arrival taxi bay Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
cleaning and sanitation area kahan hai?,Roman Urdu,Facilities,Arrival,cleaning and sanitation area Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
