id,user_query,intent,airport,response
35,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
36,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
37,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
38,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
39,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
40,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
41,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
42,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
43,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
44,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
45,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
46,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
47,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
48,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
49,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
50,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
51,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
52,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
53,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
54,Arrival steps kya hain Islamabad Airport par?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
55,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
56,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
57,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
58,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
59,Arrival steps kya hain Islamabad Airport par?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
60,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
61,Arrival steps kya hain Islamabad Airport par?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
62,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
63,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
64,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
65,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
66,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
67,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
68,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
69,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
70,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
71,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
72,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
73,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
74,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
75,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
76,Arrival steps kya hain Islamabad Airport par?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
77,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
78,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
79,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
80,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
81,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
82,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
83,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
84,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
85,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
86,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
87,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
88,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
89,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
90,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
91,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
92,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
93,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
94,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
95,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
96,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
97,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
98,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
99,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
100,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
101,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
102,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
103,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
104,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
105,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
106,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
107,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
108,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
109,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
110,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
111,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
112,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
113,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
114,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
115,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
116,Arrival steps kya hain Islamabad Airport par?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
117,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
118,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
119,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
120,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
