id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response
11,فلائٹ EY910 لندن سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EY910,لندن,16:27,تاخیر,فلائٹ EY910 لندن سے 16:27 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
12,فلائٹ EY986 ریاض سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EY986,ریاض,19:11,تاخیر,فلائٹ EY986 ریاض سے 19:11 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
13,کیا فلائٹ PK625 ابو ظہبی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,PK625,ابو ظہبی,20:51,تاخیر,فلائٹ PK625 ابو ظہبی سے 20:51 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
14,فلائٹ PK910 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,PK910,لاہور,02:22,وقت پر,فلائٹ PK910 لاہور سے 02:22 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
15,فلائٹ BA349 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,BA349,لندن,00:31,وقت پر,فلائٹ BA349 لندن سے 00:31 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
16,فلائٹ QR970 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,QR970,کراچی,20:49,تاخیر,فلائٹ QR970 کراچی سے 20:49 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
17,فلائٹ SV453 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,SV453,لندن,03:04,تاخیر,فلائٹ SV453 لندن سے 03:04 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
18,فلائٹ EK907 شارجہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EK907,شارجہ,16:43,لینڈ ہو گئی,فلائٹ EK907 شارجہ سے 16:43 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
19,فلائٹ PK579 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,PK579,شارجہ,13:51,وقت پر,فلائٹ PK579 شارجہ سے 13:51 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
20,فلائٹ EY731 ریاض سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EY731,ریاض,17:20,لینڈ ہو گئی,فلائٹ EY731 ریاض سے 17:20 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
21,کیا فلائٹ QR684 استنبول سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,QR684,استنبول,21:19,لینڈ ہو گئی,فلائٹ QR684 استنبول سے 21:19 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
22,فلائٹ TK658 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,TK658,لاہور,00:14,تاخیر,فلائٹ TK658 لاہور سے 00:14 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
23,فلائٹ EY852 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,EY852,جدہ,05:15,وقت پر,فلائٹ EY852 جدہ سے 05:15 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
24,فلائٹ SV810 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,SV810,کراچی,21:37,وقت پر,فلائٹ SV810 کراچی سے 21:37 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
25,فلائٹ TK249 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,TK249,استنبول,06:00,لینڈ ہو گئی,فلائٹ TK249 استنبول سے 06:00 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
26,فلائٹ TK827 استنبول سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,TK827,استنبول,01:53,تاخیر,فلائٹ TK827 استنبول سے 01:53 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
27,فلائٹ PK278 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,PK278,جدہ,04:07,تاخیر,فلائٹ PK278 جدہ سے 04:07 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
28,فلائٹ PK480 کراچی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,PK480,کراچی,01:33,لینڈ ہو گئی,فلائٹ PK480 کراچی سے 01:33 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
29,فلائٹ EY493 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,EY493,شارجہ,03:09,تاخیر,فلائٹ EY493 شارجہ سے 03:09 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
30,کیا فلائٹ EK787 لاہور سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,EK787,لاہور,12:26,لینڈ ہو گئی,فلائٹ EK787 لاہور سے 12:26 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
31,فلائٹ EY602 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,EY602,دوحہ,00:08,لینڈ ہو گئی,فلائٹ EY602 دوحہ سے 00:08 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
32,فلائٹ PK633 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,PK633,لندن,18:50,وقت پر,فلائٹ PK633 لندن سے 18:50 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
33,فلائٹ PK671 کراچی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,PK671,کراچی,14:03,لینڈ ہو گئی,فلائٹ PK671 کراچی سے 14:03 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
34,کیا فلائٹ TK505 دوحہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,TK505,دوحہ,22:14,لینڈ ہو گئی,فلائٹ TK505 دوحہ سے 22:14 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
35,کیا فلائٹ TK567 شارجہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,TK567,شارجہ,19:53,تاخیر,فلائٹ TK567 شارجہ سے 19:53 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
36,فلائٹ SV178 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,SV178,لاہور,16:58,وقت پر,فلائٹ SV178 لاہور سے 16:58 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
37,فلائٹ SV513 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,SV513,کراچی,01:07,تاخیر,فلائٹ SV513 کراچی سے 01:07 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
38,فلائٹ QR344 ریاض سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,QR344,ریاض,07:37,تاخیر,فلائٹ QR344 ریاض سے 07:37 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
39,فلائٹ TK917 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,TK917,ابو ظہبی,14:06,تاخیر,فلائٹ TK917 ابو ظہبی سے 14:06 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
40,فلائٹ TK813 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,TK813,ریاض,04:46,لینڈ ہو گئی,فلائٹ TK813 ریاض سے 04:46 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
41,فلائٹ EY327 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,EY327,جدہ,03:55,وقت پر,فلائٹ EY327 جدہ سے 03:55 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
42,فلائٹ EK433 دبئی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EK433,دبئی,19:34,وقت پر,فلائٹ EK433 دبئی سے 19:34 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
43,فلائٹ TK681 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,TK681,دوحہ,06:41,تاخیر,فلائٹ TK681 دوحہ سے 06:41 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
44,فلائٹ PK425 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,PK425,لاہور,15:17,تاخیر,فلائٹ PK425 لاہور سے 15:17 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
45,کیا فلائٹ PK858 استنبول سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,PK858,استنبول,08:20,تاخیر,فلائٹ PK858 استنبول سے 08:20 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
46,فلائٹ QR152 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,QR152,لاہور,23:42,وقت پر,فلائٹ QR152 لاہور سے 23:42 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
47,فلائٹ EY229 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,EY229,ریاض,02:12,تاخیر,فلائٹ EY229 ریاض سے 02:12 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
48,فلائٹ TK726 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,TK726,شارجہ,12:02,تاخیر,فلائٹ TK726 شارجہ سے 12:02 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
49,فلائٹ BA476 ابو ظہبی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,BA476,ابو ظہبی,20:45,لینڈ ہو گئی,فلائٹ BA476 ابو ظہبی سے 20:45 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
50,فلائٹ QR244 کراچی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,QR244,کراچی,05:12,تاخیر,فلائٹ QR244 کراچی سے 05:12 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
51,کیا فلائٹ EK939 دوحہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,EK939,دوحہ,09:33,وقت پر,فلائٹ EK939 دوحہ سے 09:33 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
52,فلائٹ EK828 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,EK828,ابو ظہبی,05:07,تاخیر,فلائٹ EK828 ابو ظہبی سے 05:07 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
53,فلائٹ SV773 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,SV773,استنبول,02:34,وقت پر,فلائٹ SV773 استنبول سے 02:34 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
54,فلائٹ TK895 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,TK895,استنبول,21:51,وقت پر,فلائٹ TK895 استنبول سے 21:51 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
55,فلائٹ BA372 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,BA372,ریاض,11:41,تاخیر,فلائٹ BA372 ریاض سے 11:41 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
56,کیا فلائٹ TK589 ابو ظہبی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,TK589,ابو ظہبی,05:56,وقت پر,فلائٹ TK589 ابو ظہبی سے 05:56 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
57,فلائٹ BA775 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,BA775,لندن,18:02,تاخیر,فلائٹ BA775 لندن سے 18:02 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
58,فلائٹ EK671 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,EK671,شارجہ,18:30,وقت پر,فلائٹ EK671 شارجہ سے 18:30 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
59,فلائٹ EY337 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,EY337,ریاض,19:49,لینڈ ہو گئی,فلائٹ EY337 ریاض سے 19:49 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
60,فلائٹ BA989 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,BA989,کراچی,00:59,وقت پر,فلائٹ BA989 کراچی سے 00:59 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
61,فلائٹ EK980 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,EK980,ابو ظہبی,05:54,لینڈ ہو گئی,فلائٹ EK980 ابو ظہبی سے 05:54 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
62,فلائٹ TK306 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,TK306,ابو ظہبی,11:28,وقت پر,فلائٹ TK306 ابو ظہبی سے 11:28 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
63,فلائٹ EY920 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,EY920,ریاض,19:48,وقت پر,فلائٹ EY920 ریاض سے 19:48 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
64,کیا فلائٹ TK190 ابو ظہبی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,TK190,ابو ظہبی,02:13,لینڈ ہو گئی,فلائٹ TK190 ابو ظہبی سے 02:13 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
65,فلائٹ PK305 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,PK305,لاہور,13:24,تاخیر,فلائٹ PK305 لاہور سے 13:24 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
66,فلائٹ QR338 ریاض سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,QR338,ریاض,18:35,لینڈ ہو گئی,فلائٹ QR338 ریاض سے 18:35 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
67,فلائٹ EY964 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,EY964,کراچی,12:18,لینڈ ہو گئی,فلائٹ EY964 کراچی سے 12:18 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
68,فلائٹ EY801 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,EY801,شارجہ,01:35,تاخیر,فلائٹ EY801 شارجہ سے 01:35 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
69,فلائٹ BA763 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,BA763,دبئی,20:28,وقت پر,فلائٹ BA763 دبئی سے 20:28 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
70,فلائٹ TK911 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,TK911,لندن,13:29,وقت پر,فلائٹ TK911 لندن سے 13:29 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
71,فلائٹ PK816 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,PK816,ریاض,16:28,لینڈ ہو گئی,فلائٹ PK816 ریاض سے 16:28 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
72,فلائٹ PK480 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,PK480,لاہور,07:01,تاخیر,فلائٹ PK480 لاہور سے 07:01 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
73,کیا فلائٹ SV689 کراچی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,SV689,کراچی,00:42,تاخیر,فلائٹ SV689 کراچی سے 00:42 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
74,فلائٹ PK790 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,PK790,دبئی,01:31,لینڈ ہو گئی,فلائٹ PK790 دبئی سے 01:31 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
75,کیا فلائٹ EK591 ابو ظہبی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,EK591,ابو ظہبی,20:29,تاخیر,فلائٹ EK591 ابو ظہبی سے 20:29 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
76,فلائٹ TK166 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,TK166,شارجہ,11:47,تاخیر,فلائٹ TK166 شارجہ سے 11:47 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
77,فلائٹ SV304 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,SV304,لاہور,12:46,تاخیر,فلائٹ SV304 لاہور سے 12:46 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
78,فلائٹ EK270 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,EK270,شارجہ,04:26,لینڈ ہو گئی,فلائٹ EK270 شارجہ سے 04:26 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
79,فلائٹ TK601 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,TK601,ریاض,07:08,لینڈ ہو گئی,فلائٹ TK601 ریاض سے 07:08 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
80,کیا فلائٹ EY956 دبئی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,EY956,دبئی,08:46,لینڈ ہو گئی,فلائٹ EY956 دبئی سے 08:46 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
81,فلائٹ PK842 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,PK842,ابو ظہبی,22:27,تاخیر,فلائٹ PK842 ابو ظہبی سے 22:27 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
82,فلائٹ EY422 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,EY422,استنبول,19:57,تاخیر,فلائٹ EY422 استنبول سے 19:57 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
83,فلائٹ SV930 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,SV930,جدہ,19:14,وقت پر,فلائٹ SV930 جدہ سے 19:14 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
84,کیا فلائٹ QR975 ابو ظہبی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,QR975,ابو ظہبی,23:15,لینڈ ہو گئی,فلائٹ QR975 ابو ظہبی سے 23:15 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
85,فلائٹ EK858 استنبول سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EK858,استنبول,13:57,تاخیر,فلائٹ EK858 استنبول سے 13:57 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
86,فلائٹ EK908 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,EK908,لاہور,07:58,وقت پر,فلائٹ EK908 لاہور سے 07:58 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
87,فلائٹ TK424 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,TK424,دبئی,02:50,لینڈ ہو گئی,فلائٹ TK424 دبئی سے 02:50 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
88,کیا فلائٹ PK834 لاہور سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,PK834,لاہور,22:33,لینڈ ہو گئی,فلائٹ PK834 لاہور سے 22:33 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
89,فلائٹ EY971 لاہور سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EY971,لاہور,22:16,تاخیر,فلائٹ EY971 لاہور سے 22:16 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
90,فلائٹ SV222 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,SV222,لاہور,07:06,وقت پر,فلائٹ SV222 لاہور سے 07:06 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
91,فلائٹ TK748 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,TK748,دوحہ,04:39,تاخیر,فلائٹ TK748 دوحہ سے 04:39 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
92,کیا فلائٹ SV243 شارجہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,SV243,شارجہ,21:53,تاخیر,فلائٹ SV243 شارجہ سے 21:53 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
93,فلائٹ TK377 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,TK377,ریاض,07:40,وقت پر,فلائٹ TK377 ریاض سے 07:40 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
94,کیا فلائٹ BA504 جدہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,BA504,جدہ,13:33,لینڈ ہو گئی,فلائٹ BA504 جدہ سے 13:33 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
95,فلائٹ EK209 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,EK209,جدہ,02:34,لینڈ ہو گئی,فلائٹ EK209 جدہ سے 02:34 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
96,کیا فلائٹ TK575 دبئی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,TK575,دبئی,22:25,لینڈ ہو گئی,فلائٹ TK575 دبئی سے 22:25 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
97,فلائٹ TK910 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,TK910,شارجہ,02:53,وقت پر,فلائٹ TK910 شارجہ سے 02:53 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
98,فلائٹ SV171 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,SV171,دبئی,08:07,لینڈ ہو گئی,فلائٹ SV171 دبئی سے 08:07 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
99,فلائٹ PK714 ابو ظہبی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,PK714,ابو ظہبی,06:48,تاخیر,فلائٹ PK714 ابو ظہبی سے 06:48 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
100,فلائٹ TK812 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,TK812,لاہور,19:39,وقت پر,فلائٹ TK812 لاہور سے 19:39 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
101,فلائٹ EK852 لندن سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,EK852,لندن,20:52,وقت پر,فلائٹ EK852 لندن سے 20:52 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
102,فلائٹ EY318 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,EY318,شارجہ,14:01,وقت پر,فلائٹ EY318 شارجہ سے 14:01 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
103,فلائٹ TK833 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,TK833,جدہ,12:26,وقت پر,فلائٹ TK833 جدہ سے 12:26 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
104,فلائٹ PK557 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,PK557,ریاض,10:51,وقت پر,فلائٹ PK557 ریاض سے 10:51 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
105,فلائٹ SV585 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,SV585,شارجہ,16:33,تاخیر,فلائٹ SV585 شارجہ سے 16:33 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
106,فلائٹ BA133 جدہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,BA133,جدہ,17:36,تاخیر,فلائٹ BA133 جدہ سے 17:36 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
