id,user_query,intent,airport,response
108,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
109,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
110,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
111,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
112,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
113,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
114,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
115,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
116,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
117,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
118,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
119,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
120,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
