id,user_query,intent,airport,response
38,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
39,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
40,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
41,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
42,لینڈنگ کے بعد پروسیس کیا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
43,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
44,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
45,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
46,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
47,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
48,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
49,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
50,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
51,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
52,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
53,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
54,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
55,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
56,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
57,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
58,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
59,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
60,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
61,لینڈنگ کے بعد پروسیس کیا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
62,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
63,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
64,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
65,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
66,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
67,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
68,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
69,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
70,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
71,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
72,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
73,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
74,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
75,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
76,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
77,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
78,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
79,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
80,آنے کے مراحل کیا ہیں؟,arrival_guidance,اسلام آباد,آنے کے مراحل: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
81,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
82,لینڈنگ کے بعد پروسیس کیا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
83,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
84,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
85,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
86,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
87,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
88,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
89,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
90,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
91,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
92,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
93,لینڈنگ کے بعد پروسیس کیا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
94,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
95,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
96,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
97,آنے کے مراحل کیا ہیں؟,arrival_guidance,اسلام آباد,آنے کے مراحل: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
98,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
99,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
100,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
101,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
102,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
103,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
104,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
105,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
106,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
107,لینڈنگ کے بعد پروسیس کیا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
108,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
109,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
110,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
111,آنے کے مراحل کیا ہیں؟,arrival_guidance,اسلام آباد,آنے کے مراحل: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
112,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
113,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
114,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
115,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
116,آنے کے مراحل کیا ہیں؟,arrival_guidance,اسلام آباد,آنے کے مراحل: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
117,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
118,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
119,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
120,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
